x,F_x
0.0,3.1676687769898866
0.005,3.078944442769284
0.01,2.8274056284575297
0.015,2.4530057211634793
0.02,2.010634735895503
0.025,1.5570120670913299
0.03,1.1391343627425343
0.035,0.7873758757684984
0.04,0.5141779319026559
0.045,0.31722611975265325
0.05,0.18490498597861324
0.055,0.10182454598532988
0.06,0.05297616544623892
0.065,0.026039505603361265
0.07,0.012092305927255007
0.075,0.0053052969192866496
0.08,0.002199046642275442
0.085,0.0008611590384397841
0.09,0.0003186078445737603
0.095,0.00011136628744779544
0.1,3.6776906598133156e-05
0.105,1.1474158074300178e-05
0.11,3.3821326556540837e-06
0.115,9.418562497393241e-07
0.12,2.4780084744853823e-07
0.125,6.159495294876663e-08
0.13,1.4464773765425359e-08
0.135,3.2092410622658393e-09
0.14,6.72693470763803e-10
0.145,1.3321596085299935e-10
0.15,2.4924100165596968e-11
0.155,4.405618543625202e-12
0.16,7.357300118984133e-13
0.165,1.1607915286321593e-13
0.17,1.730271143846538e-14
0.17500000000000002,2.436678757312552e-15
0.18,3.2419518961371695e-16
0.185,4.075107155281288e-17
0.19,4.839446317306115e-18
0.195,5.4297082864187485e-19
0.2,5.755479290198866e-20
0.20500000000000002,5.763823464780023e-21
0.21,5.453358176019846e-22
0.215,4.87462882808416e-23
0.22,4.11664350315232e-24
0.225,3.284499068384494e-25
0.23,2.4758207816096994e-26
0.23500000000000001,1.7631669728390826e-27
0.24,1.1862926987863579e-28
0.245,7.54074838849141e-30
0.25,4.528571401529302e-31
0.255,2.569402642415897e-32
0.26,1.3772960133404787e-33
0.265,6.975038217637137e-35
0.27,3.3372602056303635e-36
0.275,1.5085431089164035e-37
0.28,6.44242776762718e-39
0.28500000000000003,2.599354829912703e-40
0.29,9.908450742108347e-42
0.295,3.568371966436271e-43
0.3,1.214111744302612e-44
0.305,3.90275580695491e-46
0.31,1.1852453883706263e-47
0.315,3.400708030798382e-49
0.32,9.218379794309146e-51
0.325,2.3608262425696892e-52
0.33,5.712124022629438e-54
0.335,1.3057360954001145e-55
0.34,2.8199237703462706e-57
0.34500000000000003,5.7536508527282905e-59
0.35000000000000003,1.1091079469928708e-60
0.355,2.0198927353108077e-62
0.36,3.4754174269295104e-64
0.365,5.649497475593442e-66
0.37,8.676345556492008e-68
0.375,1.2588907407377555e-69
0.38,1.7256925142145113e-71
0.385,2.2349250757151417e-73
0.39,2.7345552254476385e-75
0.395,3.1610735871663303e-77
0.4,3.452285391725862e-79
0.405,3.5620741219770306e-81
0.41000000000000003,3.4723491783647214e-83
0.41500000000000004,3.197923035054036e-85
0.42,2.782510427542146e-87
0.425,2.2873349762990543e-89
0.43,1.7764251720404896e-91
0.435,1.3034315926995376e-93
0.44,9.035532350225915e-96
0.445,5.917570275876277e-98
0.45,3.6614851783421896e-100
0.455,2.140401831164692e-102
0.46,1.1821090015241223e-104
0.465,6.167993567660608e-107
0.47000000000000003,3.0405662952191098e-109
0.47500000000000003,1.4160846627500608e-111
0.48,6.230862080495053e-114
0.485,2.590187687860536e-116
0.49,1.017275319929029e-118
0.495,3.7745915117870147e-121
0.5,1.3232002882453748e-123
0.505,4.38233316827428e-126
0.51,1.3712270567345792e-128
0.515,4.053568658753302e-131
0.52,1.1321132412856409e-133
0.525,2.9872143279180006e-136
0.53,7.446755151629939e-139
0.535,1.7538479624975904e-141
0.54,3.90248271144457e-144
0.545,8.203783866611176e-147
0.55,1.6293395878344381e-149
0.555,3.057265716955436e-152
0.56,5.419746083053169e-155
0.5650000000000001,9.077136601718778e-158
0.5700000000000001,1.436292786652995e-160
0.5750000000000001,2.1471444596869132e-163
0.58,3.032520373060237e-166
0.585,4.046414487283466e-169
0.59,5.101068831428358e-172
0.595,6.075418198338658e-175
0.6,6.83620927056791e-178
0.605,7.267393853412191e-181
0.61,7.299048051622314e-184
0.615,6.925927249943485e-187
0.62,6.208887705491229e-190
0.625,5.258645105554553e-193
0.63,4.207829135266516e-196
0.635,3.181020791367553e-199
0.64,2.2719517095194707e-202
0.645,1.5330483845065527e-205
0.65,9.77320041238038e-209
0.655,5.8862936586033e-212
0.66,3.34943243631555e-215
0.665,1.8006308893219312e-218
0.67,9.145392465796369e-222
0.675,4.3883794855309884e-225
0.68,1.989436959673287e-228
0.685,8.520799868036142e-232
0.6900000000000001,3.447900505396697e-235
