Complexity,Loss,Equation
1,15903.765,"46.88486"
2,3.9999988,"quart(x0)"
4,9.194854e-11,"quart(x0) + -1.9999999"
11,8.731516e-11,"((exp(x4 + x1) * 9.498383e-8) + -2.0000024) + quart(x0)"
13,8.6869845e-11,"(-2.0000024 + ((1.6742617 + exp(x4 + x1)) * 9.6440225e-8)) + quart(x0)"
14,7.920316e-11,"((exp((x1 + x4) + cos(x0)) * 6.239345e-8) + -2.0000012) + quart(x0)"
15,7.7606976e-11,"(-2.0000024 + (exp((x4 + sin(x0)) + cos(x0)) * 9.6440225e-8)) + quart(x0)"
17,7.6419274e-11,"(-2.0000024 + (exp(x4 + (sin(x0) + cos(x4 + x0))) * 9.6440225e-8)) + quart(x0)"
18,7.366932e-11,"(quart(x0) + ((((x0 + ((x2 * x0) * x4)) * 0.24155173) * -7.482845e-7) + -1.8952392)) + -0.10476112"
19,7.2833135e-11,"((cos(x4) * 8.3214e-5) + -1.2216889) + ((sin((cos(x4) * -8.4277504e-5) + 0.0030122388) + quart(x0)) + -0.781323)"
20,7.242926e-11,"(-2.0000024 + (exp(x4 + (sin(x0) + cos((x4 + sin(x0)) + x0))) * 9.6440225e-8)) + quart(x0)"
21,7.211416e-11,"quart(x0) + (-2.0000024 + (exp(x4 + (sin(x0) + cos(sin(x4 + (x0 + cos(1.2931762)))))) * 9.6440225e-8))"
23,7.177467e-11,"quart(x0) + ((exp((x4 + sin(x0)) + cos(cos(1.2931762 + quart(x0 + (x4 + x0))))) * 9.6440225e-8) + -2.0000024)"
