Complexity,Loss,Equation
1,33.60272,"2.3547418"
3,6.12818,"x0 * x0"
5,3.0454912,"(x0 * x0) + -1.7559116"
7,3.029573,"(x0 * (x0 * 0.9776902)) + -1.6640388"
8,1.1184881,"(x0 * x0) + (cos(x3) + -1.8519785)"
9,0.954461,"(x0 * x0) + (exp(cos(x3)) + -3.1734843)"
10,2.2174848e-13,"(x0 * x0) + ((cos(x3) * 2.5382) + -1.9999999)"
12,2.2163525e-13,"((x0 * x0) + 1.1486676) + ((cos(x3) * 2.5382) + -3.1486676)"
14,2.0193545e-13,"(((x0 * x0) + -0.37436768) + ((cos(x3) * 2.5382) + -2.374363)) + 0.74873066"
19,1.9584476e-13,"(x0 * x0) + ((exp(exp(exp(x0 * -1.5819513e-8))) * 0.039953228) + ((cos(x3) + -1.0264997) * 2.5382))"
20,1.8781341e-13,"((x0 * x0) + ((-0.18417202 + cos(x3)) * 2.5382)) + (-1.5325346 + ((x2 + (x1 + -1.5325346)) * -1.4222756e-8))"
22,1.85966e-13,"((-1.4222756e-8 * (x2 + (1.1888527 * (x3 + -1.5325346)))) + -1.5325346) + ((2.5382 * (cos(x3) + -0.18417202)) + (x0 * x0))"
24,1.8541532e-13,"(((cos(x3) + -0.18417202) * 2.5382) + (x0 * x0)) + (((((x3 + (x2 + x2)) * 0.7262161) + 1.1888527) * -1.4222756e-8) + -1.5325346)"
25,1.8383437e-13,"((x0 * x0) + ((cos(x3) + -0.18417202) * 2.5382)) + (((x2 + ((cos(x1) * x1) + (x1 + -2.14582))) * -1.4222756e-8) + -1.5325346)"
26,1.5903865e-13,"(x0 * x0) + ((2.5382 * (-1.0264997 + cos(x3))) + (0.039953228 * exp(exp(exp(-6.4235213e-9 * (x0 * exp(sin(sin(x0)) * x4)))))))"
29,1.234671e-13,"(x0 * x0) + ((exp(exp(exp((x0 * exp(sin(x0 + -0.38655823) * (x4 + 0.7514338))) * -6.4235213e-9))) * 0.039953228) + ((cos(x3) + -1.0264997) * 2.5382))"
30,1.2289867e-13,"(x0 * x0) + ((exp(exp(exp((x0 * exp(sin(x0) + (x4 * sin(x0 + -0.4605525)))) * -6.4235213e-9))) * 0.039953228) + ((cos(x3) + -1.0264997) * 2.5382))"
