Complexity,Loss,Equation
1,24.602905,"2.4217715"
3,5.2588596,"x2 * x2"
5,2.4815128,"(x2 * 0.7604447) * x2"
7,1.872981,"((x2 * 0.83989024) * x2) + -0.956017"
8,0.99122655,"(cos(x2) + (x2 * x2)) + -1.7575545"
10,2.1729284e-13,"((x2 * x2) + -2.0) + (cos(x2) * 2.5382)"
12,1.2624568e-13,"((x2 * x2) + -0.6601377) + ((cos(x2) * 2.5382) + -1.3398623)"
16,1.00932595e-13,"((cos(x2) * 0.53819996) + ((x2 * x2) + (cos(x2) + -2.0))) + cos(x2)"
18,8.014922e-14,"(cos(x2) * 0.53819996) + ((cos(x2) + -0.68968797) + (((x2 * x2) + -1.310312) + cos(x2)))"
22,7.251977e-14,"(cos(x2) + -1.6155704e-7) + (((cos(x2) + -1.9999999) + ((x2 + 9.5684754e-8) * x2)) + (cos(x2 + 9.5684754e-8) * 0.53819984))"
24,5.839773e-14,"(cos(x2 + 1.4000764e-7) * 0.53819984) + ((9.2344266e-8 + ((x2 * x2) + (cos(x2) + -1.9999999))) + (-8.077852e-8 + (-8.077852e-8 + cos(x2))))"
26,5.232259e-14,"(cos(x2) * (0.53819984 + 9.5684754e-8)) + (((x2 * (x2 + 9.5684754e-8)) + (-1.9999999 + cos(x2 + 9.5684754e-8))) + ((cos(x2) + -8.077852e-8) + -8.077852e-8))"
