Complexity,Loss,Equation
1,19.057518,"2.5594785"
3,6.1281805,"x3 * x3"
4,0.26840642,"sq(x3 * -0.4626036)"
6,0.10821044,"(sq(x3) * 0.044028893) + 0.44510728"
8,0.107915275,"(sq(x3 + 0.0036737174) * 0.044013496) + 0.44569206"
10,0.08351199,"sq(((x2 * -0.021248547) + x3) * 0.45985925) + 0.42220053"
11,0.027205067,"cos(x3 * -0.17267752) * (sq(x3 * 0.4954715) + 0.30412674)"
13,0.026810601,"(cos(x3 * 0.17339279) * ((sq(x3) * 0.060557894) + 0.40450254)) + -0.102858365"
14,0.026545761,"(sq(x3 + x3) + 80.50118) * (((x3 * -5.2587344e-5) * x3) + 0.0037500141)"
16,0.025882825,"((((x3 * -5.3674954e-5) * x3) + 0.0037778404) * (sq(x3 + x3) + 128.01205)) + -0.18235767"
18,0.024919368,"((sq(x3 + x3) + (x3 + 173.19409)) * (((x3 * -5.4556e-5) * x3) + 0.003802276)) + -0.35411572"
19,0.0224725,"(sq(exp(cos(cos(x3 * 0.17832439))) * (cos(cos(x3 * 0.3224203)) + -0.29931447)) * 3.4812202) + 0.20508507"
20,0.015415234,"(((x3 * -7.49541e-5) * x3) + 0.0043925876) * ((((x3 * x3) * -19.48865) + 70.74313) + sq(x3 + x3))"
22,0.015415233,"(((x3 * -7.49541e-5) * x3) + 0.0043925876) * ((((x3 * x3) * -19.48865) + 3.808136) + (sq(x3 + x3) + 66.935))"
24,0.0018753329,"cos(cos(cos(x3)) + 0.5938912) + (sq(exp(cos(cos(x3 * 0.21075247))) * (cos(cos(x3 * -0.32176444)) + -0.2522638)) * 2.086773)"
26,0.001466626,"(sq((cos(cos(x3 * -0.31438625)) + -0.21994868) * exp(cos(cos(x3 * 0.19659339)))) * 2.0159376) + cos(cos(cos(x3 * 0.9062986)) + 0.70603335)"
28,0.001411472,"cos(cos(cos(x3 * -0.903035)) + 0.6418765) + ((sq(exp(cos(cos(x3 * 0.19848764))) * (cos(cos(x3 * -0.3141766)) + -0.21967413)) * 1.987036) + -0.06180345)"
