Complexity,Loss,Equation
1,26.09293,"2.4635134"
3,5.0465097,"x4 * x4"
4,0.94025004,"sq(x4) * 0.03831607"
6,0.5738458,"(sq(x4) * 0.036819123) + 0.64340866"
8,0.53673756,"sq((x4 + 0.046730906) * 0.43663633) + 0.6374506"
10,2.3337777e-13,"(x4 * x4) + ((cos(x4) * 2.5382001) + -2.0)"
12,1.9283242e-13,"((x4 * x4) + -0.28915328) + ((cos(x4) * 2.5382001) + -1.7108468)"
14,1.6251e-13,"((x4 * (x4 * 1.3928541)) + ((cos(x4) * 3.5353422) + -2.785708)) * 0.7179503"
16,1.2221336e-13,"(((((x4 * 1.4039874) * x4) + -1.9527986) + (cos(x4) * 3.563601)) * 0.7122571) + -0.6091052"
20,1.1998402e-13,"(((x4 + ((x4 * -1.0) + (cos(x4) * 3.5353422))) + -2.785708) + (x4 * (x4 * 1.3928541))) * 0.7179503"
