Complexity,Loss,Equation
1,24.602905,"2.4219272"
2,5.2588596,"sq(x2)"
4,2.481513,"sq(x2 * 0.8720254)"
5,0.90153575,"sq(sq(x2 * -0.44684955))"
7,0.35965297,"sq(sq(x2 * -0.41818023) + 0.5239617)"
9,2.1021406e-13,"(sq(x2) + -2.0) + (cos(x2) * 2.5382001)"
11,1.2041923e-13,"(sq(x2) + -3.1511254) + ((cos(x2) * 2.5382001) + 1.1511254)"
13,1.180478e-13,"3.011432e-8 + ((-1.4023186 + (cos(x2) * 2.5382001)) + (-0.5976815 + sq(x2)))"
16,8.423484e-14,"(cos(x2) * ((x2 * (sq(x2) * 1.4441052e-8)) + 2.5382001)) + (-2.0 + sq(x2))"
18,7.7235995e-14,"(((((x2 * sq(x2)) + 0.7982485) * 1.4441052e-8) + 2.5382001) * cos(x2)) + (sq(x2) + -2.0)"
21,7.631229e-14,"(sq(x2) + -2.0) + (cos(x2) * (((x2 * 1.4441052e-8) * (sq(x2) + cos(sq(sq(x1))))) + 2.5382001))"
