Complexity,Loss,Equation
1,33.60272,"2.355148"
2,6.12818,"sq(x0)"
4,3.0454917,"sq(x0) + -1.7557571"
5,3.0454912,"(x0 * x0) + -1.7557341"
6,3.029573,"sq(x0 * 0.98876387) + -1.6638929"
7,1.118488,"(sq(x0) + cos(x3)) + -1.8519636"
9,2.264958e-13,"sq(x0) + ((cos(x3) * 2.5382) + -2.0)"
10,1.9076216e-13,"((cos(x3) * 2.5382) + (x0 * x0)) + -2.0"
15,1.5333877e-13,"((((cos(x3) * 1.5382) + -0.9953972) + (x0 * x0)) + cos(x3)) + -1.0046028"
19,1.4280053e-13,"(cos(x3) + (((((x0 * -7.320415e-8) + 1.5382) * cos(x3)) + -0.9953972) + (x0 * x0))) + -1.0046028"
23,1.4265841e-13,"(cos(x3) + (((cos(x3) * ((((x2 * 0.62748516) + x0) * -6.321662e-8) + 1.5382)) + -0.9953972) + (x0 * x0))) + -1.0046028"
26,1.3752919e-13,"(((x0 * x0) + ((cos(x3) * (((cos(x2 * x3) * x0) * (-2.784504e-8 * x0)) + 1.5382)) + -0.9953972)) + cos(x3)) + -1.0046028"
27,1.3237775e-13,"(((x0 * x0) + ((cos(x3) * (((x0 * cos(cos(x2) * x3)) * (x0 * -2.784504e-8)) + 1.5382)) + -0.9953972)) + cos(x3)) + -1.0046028"
29,1.3042376e-13,"(cos(x3) + ((x0 * x0) + ((cos(x3) * ((cos((x3 * cos(x2)) + 0.7840466) * ((x0 * -2.784504e-8) * x0)) + 1.5382)) + -0.9953972))) + -1.0046028"
30,1.2900267e-13,"(((x0 * x0) + ((cos(x3) * (((x0 * cos((cos(x2) * x3) + cos(x1))) * (x0 * -2.784504e-8)) + 1.5382)) + -0.9953972)) + cos(x3)) + -1.0046028"
