Complexity,Loss,Equation
1,1.3425141e-5,"-0.0040800236"
4,3.752098e-6,"gaussian(x0) * -0.012037972"
6,9.113616e-9,"gaussian(x0 * 0.6096932) * -0.010123784"
8,7.454043e-9,"(gaussian(x0 * 0.6067076) * -0.010192674) + 6.742376e-5"
9,7.343678e-9,"sinh((gaussian(x0 * 0.60442185) * -0.010191921) + 8.065026e-5)"
11,1.720497e-9,"gaussian((x0 * -0.5599359) * cosh(x0 * -0.21653245)) * -0.009903637"
12,1.0980842e-9,"gaussian((cosh(sinh(x0) * -0.07981764) * 0.5912905) * x0) * -0.010022866"
13,1.5172993e-10,"gaussian((x0 * 0.44477487) * (cosh(x0 * 0.205533) + 0.297303)) * -0.010006981"
14,1.1570248e-10,"gaussian((x0 * cosh((sinh(x0) * -0.044379212) * x0)) * 0.58457285) * -0.010001897"
15,4.2696116e-12,"((gaussian(x0 * 0.42501086) + gaussian((x0 * x0) * 0.7109987)) * -0.005151428) + 0.00030509132"
16,1.8184029e-12,"sinh((gaussian(x0 * 0.4250298) + gaussian((x0 * 0.7119182) * x0)) * -0.0051518437) + 0.00030426687"
17,1.7266894e-12,"sinh(sinh((gaussian(x0 * 0.4250298) + gaussian((x0 * x0) * 0.7119182)) * -0.0051519433)) + 0.00030429498"
22,1.472215e-12,"(((gaussian(x0 * sinh(x0 * 0.32086012)) + gaussian(sinh(x0) * 0.82876354)) + gaussian(x0 * 0.31733894)) * -0.0035774258) + 0.0007344749"
23,1.4272784e-12,"sinh((((gaussian(x0 * sinh(x0 * 0.32086012)) + gaussian(sinh(x0) * 0.82876354)) + gaussian(x0 * 0.31733894)) * -0.0035774258) + 0.0007344749)"
24,1.392343e-12,"sinh(sinh((((gaussian(sinh(x0 * 0.32086012) * x0) + gaussian(x0 * 0.31733894)) + gaussian(sinh(x0) * 0.82876354)) * -0.0035774258) + 0.0007344749))"
25,1.3673224e-12,"sinh(sinh(sinh(((gaussian(x0 * 0.31733894) + (gaussian(sinh(x0 * 0.32086012) * x0) + gaussian(sinh(x0) * 0.82876354))) * -0.0035774258) + 0.0007344749)))"
26,1.352303e-12,"sinh(sinh(sinh(sinh(((gaussian(x0 * 0.31733894) + (gaussian(sinh(x0 * 0.32086012) * x0) + gaussian(sinh(x0) * 0.82876354))) * -0.0035774258) + 0.0007344749))))"
