Complexity,Loss,Equation
1,1.3425141e-5,"-0.0040800013"
4,3.752098e-6,"gaussian(x0) * -0.0120380465"
6,9.113644e-9,"gaussian(x0 * 0.60971206) * -0.010124245"
8,5.566295e-10,"sinh(gaussian(sinh(x0 * -0.49818817))) * -0.008481988"
9,5.560605e-10,"sinh(sinh(gaussian(sinh(x0 * -0.49818817))) * -0.008481988)"
10,5.147903e-10,"(sinh(gaussian(sinh(x0 * -0.49814403))) * -0.0084925145) + 9.568732e-6"
11,5.1432986e-10,"sinh(sinh(gaussian(sinh(x0 * -0.49814403))) * -0.0084925145) + 9.568732e-6"
12,1.1859215e-10,"sinh(sinh(sinh(gaussian(sinh(x0 * -0.764503) * -0.4281884)))) * -0.0048835888"
14,5.4901084e-11,"(sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.0048853857) + 1.6225898e-5"
15,5.473529e-11,"sinh((sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.0048853373) + 1.6408032e-5)"
16,5.4583112e-11,"sinh(sinh(sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.0048852977)) + 1.626027e-5"
17,5.4429506e-11,"sinh(sinh(sinh(sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.0048852977))) + 1.6260308e-5"
18,5.4288494e-11,"sinh(sinh(sinh(sinh(sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.0048852977))) + 1.626027e-5)"
19,5.413876e-11,"sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.0048851254))))) + 1.6284903e-5"
20,5.3987665e-11,"sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.0048851254)))))) + 1.6284903e-5"
21,5.384256e-11,"sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.004885069))))))) + 1.6295404e-5"
22,5.369912e-11,"sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.0048850174)))))))) + 1.6298594e-5"
23,5.3564514e-11,"sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.004884942))))))) + 1.6314392e-5))"
24,5.3451677e-11,"sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(-0.004885069 * sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))))))))))))) + 1.6295404e-5"
25,5.329061e-11,"sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.004884942)))))))))) + 1.6314392e-5)"
26,5.3169878e-11,"sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.004884942))))))))))) + 1.6314392e-5)"
27,5.305915e-11,"sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(gaussian(0.42102098 * sinh(x0 * -0.7715916))))) * -0.004884942)))))))))))) + 1.6314392e-5)"
28,5.2987014e-11,"sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098)))) * -0.004884418)))))))))))))) + 1.6355276e-5"
30,5.2940024e-11,"sinh(1.6295404e-5 + sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(sinh(-0.004885069 * sinh(sinh(sinh(gaussian(sinh(x0 * -0.7715916) * 0.42102098))))))))))))))))))))"
