Complexity,Loss,Equation
1,1.3425141e-5,"-0.0040800013"
4,3.752098e-6,"gaussian(x0) * -0.012038343"
6,9.113661e-9,"gaussian(x0 * 0.6097122) * -0.0101242"
8,7.3411033e-9,"(gaussian(x0 * -0.6046147) * -0.010191818) + 7.946657e-5"
11,5.256644e-10,"gaussian(x0 * ((gaussian(x0) * 0.08430199) + -0.6167881)) * -0.010004611"
12,1.4310557e-10,"gaussian((((x0 * x0) * -0.009746861) + -0.57626015) * x0) * -0.010004567"
14,1.4012258e-10,"gaussian(x0 * ((((x0 * x0) + -0.07154748) * -0.010003154) + -0.5763355)) * -0.010003154"
16,1.3613236e-10,"gaussian(x0 * ((x0 * (x0 * (x0 * (x0 * -0.0019081895)))) + -0.58478206)) * -0.010007269"
18,1.190983e-10,"gaussian(x0 * ((((x0 * -0.002227765) * ((x0 * x0) + -0.56894255)) * x0) + -0.5847821)) * -0.010005796"
22,1.1909117e-10,"gaussian(x0 * (((x0 * ((x0 * (x0 + (x0 * 0.0039280476))) + -0.58478206)) * (x0 * -0.002227765)) + -0.5847821)) * -0.010005796"
25,1.1908967e-10,"gaussian(((((((x0 * (x0 + (x0 * gaussian(1.0629934 + 1.2875717)))) + -0.58478206) * x0) * x0) * -0.002227765) + -0.5847821) * x0) * -0.010005796"
26,1.1908594e-10,"gaussian(x0 * (((((((x0 * x0) + 0.4290558) * 0.003858511) + -0.58478206) + (x0 * x0)) * ((x0 * -0.002227765) * x0)) + -0.5847821)) * -0.010005796"
29,1.1908587e-10,"gaussian(x0 * (((((x0 * x0) + ((((x0 * x0) + gaussian(x0 * 0.5079289)) * 0.0039280476) + -0.58478206)) * -0.002227765) * (x0 * x0)) + -0.5847821)) * -0.010005796"
