Complexity,Loss,Equation
1,1.3425141e-5,"-0.0040800013"
4,9.769348e-7,"Lorentzian(x0) * -0.0113286385"
6,9.113637e-9,"gaussian(x0 * 0.6097015) * -0.010124025"
8,7.341092e-9,"(gaussian(x0 * 0.6045719) * -0.01019228) + 8.001015e-5"
12,6.6511163e-10,"gaussian(Lorentzian(gaussian(Lorentzian(Lorentzian(x0)) * -0.50532526)) * x0) * -0.009977617"
13,5.1981774e-10,"gaussian(x0 * Lorentzian(Lorentzian((gaussian(x0) * 0.23369871) + -0.51934195))) * -0.010000468"
15,1.8363895e-10,"(gaussian(Lorentzian(Lorentzian(Lorentzian(Lorentzian(Lorentzian(x0))) + -1.0289012)) * x0) * -0.010017623) + 3.6901143e-5"
17,3.3322983e-11,"(gaussian(Lorentzian(Lorentzian(Lorentzian(Lorentzian(Lorentzian(x0) * 0.9021701)) + -1.0251933)) * x0) * -0.010045715) + 3.6643574e-5"
21,2.4485188e-11,"(gaussian(Lorentzian(Lorentzian(Lorentzian(Lorentzian(gaussian(gaussian(x0 * 1.214118)) * Lorentzian(x0))) + -1.028883)) * x0) * -0.010036521) + 3.6862173e-5"
24,1.052834e-11,"(gaussian(Lorentzian(Lorentzian(Lorentzian(Lorentzian(Lorentzian((Lorentzian(Lorentzian(Lorentzian(x0 * 1.1603702))) * 1.7992837) * x0))) + -1.0300434)) * x0) * -0.010044059) + 4.4746383e-5"
25,1.483443e-12,"4.1577678e-5 + (gaussian(x0 * Lorentzian(Lorentzian(Lorentzian(Lorentzian(Lorentzian(x0) * gaussian((Lorentzian(gaussian(gaussian(x0))) * 1.2776805) + -0.4556801))) + -1.0251935))) * -0.010039387)"
27,7.470526e-13,"(-0.010040013 * gaussian(Lorentzian(Lorentzian(Lorentzian(Lorentzian(gaussian((1.2776805 * Lorentzian(gaussian(-1.0251935 * gaussian(x0)))) + -0.4556801) * Lorentzian(x0))) + -1.0251935)) * x0)) + 4.142448e-5"
29,5.568585e-13,"(gaussian(Lorentzian(Lorentzian(Lorentzian(Lorentzian(gaussian((Lorentzian(gaussian(gaussian(x0 * 1.0) * -1.0251935)) * 1.2776805) + -0.4556801) * Lorentzian(x0))) + -1.0251935)) * x0) * -0.010040772) + 4.1397947e-5"
