Complexity,Loss,Equation
1,1.3425141e-5,"-0.0040800315"
4,9.769346e-7,"Lorentzian(x0) * -0.011328645"
6,9.1136485e-9,"gaussian(x0 * -0.6097113) * -0.010124004"
9,7.1634716e-9,"(gaussian(gaussian(x0 * -0.49000362)) * 0.015621869) + -0.015621813"
11,3.4550933e-9,"(gaussian(gaussian(x0 * -0.48211947) * 0.9285725) * 0.01717806) + -0.017168382"
15,1.4246519e-10,"((gaussian(gaussian(x0 * -0.4789435)) * 0.015018418) * gaussian(gaussian(x0) * 0.31289512)) + -0.014992368"
17,2.5290364e-12,"(gaussian(gaussian(x0 + x0) * 0.2674582) * (gaussian(gaussian(x0 * -0.4802952)) * 0.015249575)) + -0.015220372"
19,2.2963263e-12,"(gaussian(gaussian((x0 + x0) + x0) * 0.2674582) * (gaussian(gaussian(x0 * -0.4802952)) * 0.015249575)) + -0.015220372"
20,1.8320785e-12,"(gaussian(gaussian(x0 * -0.4802952)) * (gaussian((gaussian(2.430824) + gaussian(x0 + x0)) * 0.2674582) * 0.015249575)) + -0.015220372"
22,1.5700693e-12,"((gaussian(gaussian(x0 + x0) * ((gaussian(x0) + 0.0026467352) * 0.2674291)) * 0.015247698) * gaussian(gaussian(x0 * -0.48034996))) + -0.015219127"
25,1.5246933e-12,"(gaussian(gaussian(x0 * -0.4802952)) * (gaussian((gaussian(x0 + x0) * (gaussian(2.430824) + gaussian(x0 + x0))) * 0.2674582) * 0.015249575)) + -0.015220372"
26,1.4007669e-12,"((gaussian(gaussian(x0 * -0.48029527)) * 0.015247427) * gaussian(gaussian(x0 + (x0 * x1)) * (((x0 + gaussian(x0)) + 0.002715159) * 0.2674582))) + -0.01521845"
