Complexity,Loss,Equation
1,1.790708e-7,"-0.00023425512"
4,1.6915068e-7,"Lorentzian(bT) * -0.0027893968"
5,1.5564954e-7,"sqrt(Lorentzian(bL)) * -0.0008597225"
6,1.5117121e-7,"Lorentzian(bL * -0.49384034) * -0.00089975545"
7,6.956682e-8,"(Lorentzian(bL) * Lorentzian(bT)) * -0.026072156"
9,6.452722e-8,"(Lorentzian(bT) * -0.020258358) * Lorentzian(bL * 0.76226807)"
11,6.1733985e-8,"(Lorentzian(gaussian(bL)) * (Lorentzian(bL) * -0.031210352)) * Lorentzian(bT)"
13,6.147583e-8,"((Lorentzian(gaussian(bL)) * Lorentzian(bL)) * Lorentzian(bT / -1.116213)) * -0.026680006"
14,5.497874e-8,"Lorentzian(bL * (bL * gaussian(1.1043016 ^ bT))) * (Lorentzian(bT) * -0.0148304375)"
17,5.3694773e-8,"(Lorentzian(bT) * Lorentzian(Lorentzian((bT * Lorentzian(0.31892765 ^ bT)) * -0.32294616) * bL)) * -0.019296708"
18,5.211658e-8,"Lorentzian(bL * ((bL * gaussian(bL * (bT * -0.05117488))) * 0.3158464)) * (Lorentzian(bT) * -0.0148304375)"
19,5.0261637e-8,"(Lorentzian(bT) * Lorentzian(Lorentzian(bT * (Lorentzian((0.31892765 ^ bT) * -0.11716202) * -0.32294616)) * bL)) * -0.019296708"
20,4.8260084e-8,"(Lorentzian(bT) * Lorentzian(Lorentzian((bT * Lorentzian((Lorentzian(0.9338459) ^ bT) * -0.11716202)) * -0.32294616) * bL)) * -0.019296708"
24,4.205797e-8,"(Lorentzian(bT) * Lorentzian(bL * ((bL * gaussian(((bL * bT) / Lorentzian(Lorentzian(0.2374274 ^ bT))) * -0.031786658)) * 0.3158464))) * -0.0148304375"
26,4.1663707e-8,"Lorentzian(bT) * (Lorentzian(gaussian(((bT / Lorentzian(Lorentzian(0.2374274 ^ bT) * 0.9729942)) * -0.031786658) * bL) * ((bL * -0.30335864) * bL)) * -0.0148304375)"
