Complexity,Loss,Equation
1,1.790708e-7,"-0.00023425478"
4,1.6915068e-7,"Lorentzian(bT) * -0.0027893968"
5,1.5564954e-7,"sqrt(Lorentzian(bL)) * -0.0008597281"
6,1.5117031e-7,"Lorentzian(bL / -2.0141022) * -0.00090407964"
7,6.956682e-8,"(Lorentzian(bL) * Lorentzian(bT)) * -0.026072154"
9,6.454472e-8,"(Lorentzian(bT) * -0.019959329) * Lorentzian(bL * 0.74906665)"
11,6.180132e-8,"((Lorentzian(gaussian(bL)) * -0.030593231) * Lorentzian(bT)) * Lorentzian(bL)"
13,6.1258426e-8,"(Lorentzian(bT) * (Lorentzian(gaussian(bL / 0.5492448)) * -0.029247247)) * Lorentzian(bL)"
14,5.9053377e-8,"(Lorentzian(bT) * Lorentzian(-0.9407935 ^ bT)) * (Lorentzian(bL * 0.72889054) * -0.03640475)"
15,5.898718e-8,"Lorentzian(bL) * ((gaussian(gaussian((1.4200627 ^ bT) / 0.44062048)) * Lorentzian(bT)) * -0.028716946)"
17,5.256232e-8,"((gaussian(Lorentzian((bT ^ bT) / -0.12184674)) * Lorentzian(bL / -1.2813267)) * -0.022741314) * Lorentzian(bT)"
19,5.2296897e-8,"(gaussian(Lorentzian((bT ^ bT) / (-0.15330486 / 1.6796169))) * (Lorentzian(bL / -1.2813267) * -0.022741314)) * Lorentzian(bT)"
20,5.1488183e-8,"((gaussian(gaussian((bT ^ bT) * (gaussian(bL / bT) / -0.018944282))) * -0.029485941) * Lorentzian(bT)) * Lorentzian(bL)"
22,4.106779e-8,"((Lorentzian(bT) * gaussian(Lorentzian((bT ^ bT) / (0.023812551 / gaussian(bL / bT))))) * -0.022501908) * Lorentzian(bL / 1.4086138)"
24,3.888525e-8,"Lorentzian(bT) * (Lorentzian(bL / 1.9073981) * (gaussian(Lorentzian(gaussian(bL / bT) * (((bT ^ bT) / -0.031477585) / -0.97734547))) * -0.017924966))"
26,3.79617e-8,"Lorentzian(bT) * (Lorentzian(bL / 1.9213028) * (-0.017873902 * gaussian(gaussian((((bT ^ bT) / (-0.017873902 * bT)) / 1.7965972) * gaussian(bL / bT)))))"
28,3.734491e-8,"Lorentzian(bT) * ((-0.017873902 * gaussian(gaussian(gaussian(bL / bT) * ((((bT * -0.7221827) ^ bT) / (-0.019263722 * bT)) / 1.7965972)))) * Lorentzian(bL / 1.9213028))"
