Complexity,Loss,Equation
1,1.790708e-7,"-0.00023425504"
4,1.6915068e-7,"Lorentzian(bT) * -0.0027893968"
5,1.5585135e-7,"sqrt(Lorentzian(bL)) * -0.0009033759"
6,1.5117028e-7,"Lorentzian(bL / 2.0158668) * -0.0009033759"
8,7.5819756e-8,"(Lorentzian(bL) * -0.017610475) / (bT * bT)"
10,7.549466e-8,"(-0.014459758 / (bT / Lorentzian(bL * 0.8300079))) / bT"
11,7.278955e-8,"(-0.022421544 / (1.7317291 / (Lorentzian(bL) * Lorentzian(bT)))) * 1.7317291"
13,6.504959e-8,"-0.022421544 / ((bT / (Lorentzian(bL * 0.82620424) * Lorentzian(bT))) / bT)"
16,5.841003e-8,"(0.00087415596 / (bT * -0.09040803)) / (bT / Lorentzian(bL * (bL * (-0.42068988 / bT))))"
18,5.8406023e-8,"(0.0013049286 / (bT * -0.13477282)) / (bT / Lorentzian((((bL * bL) * 0.98989886) / bT) * 0.43022698))"
20,5.1754107e-8,"((0.0013049286 / (bT * -0.13477282)) / (bT / Lorentzian(((bL * bL) * -0.42926174) / bT))) / (0.92962575 ^ bT)"
22,4.6625686e-8,"(0.0013499525 / (bT * -0.13756776)) / ((bT / Lorentzian((bL / bT) * ((bL * (-0.86242396 ^ bT)) * 0.42269737))) / 0.9825858)"
