Complexity,Loss,Equation
1,1.790708e-7,"-0.00023425483"
5,1.6915068e-7,"Lorentzian(bT, 0.78215873) * -0.0027894205"
6,1.5426073e-7,"gaussian(bL * 0.35570434) * -0.000833696"
7,1.5156968e-7,"Lorentzian(bL * 0.44904277, bT) * -0.000833696"
8,1.1525694e-7,"sqrt(gaussian(bL) * gaussian(bT)) * -0.020017901"
9,6.956682e-8,"Lorentzian(bL, 1.5905583) * (Lorentzian(bT, 0.2985204) * -0.026070412)"
10,6.6295435e-8,"gaussian(bL * 0.45176423) * (Lorentzian(bT, bT) * -0.016082123)"
11,6.45292e-8,"(Lorentzian(bL * 0.75716007, -1.6167717) * -0.020125566) * Lorentzian(bT, bT)"
13,6.235176e-8,"((gaussian(gaussian(bL)) * Lorentzian(bL, 1.1842979)) * -0.031836458) * Lorentzian(bT, -0.031836458)"
14,6.173399e-8,"(Lorentzian(gaussian(bL), 0.57953215) * Lorentzian(bT, 0.8562905)) * (Lorentzian(bL, -0.8418233) * -0.031209987)"
15,6.161098e-8,"(Lorentzian(bL, bT) * (gaussian(gaussian(bL) * 0.7606828) * Lorentzian(bT, -0.15368))) * -0.03018683"
17,6.124586e-8,"((Lorentzian(bT, 3.2719076) * Lorentzian(Lorentzian(bL * 2.3885581, bT), 0.29837143)) * -0.029601838) * Lorentzian(bL, 0.5134538)"
19,6.124376e-8,"(Lorentzian(Lorentzian(bL * (bL * 2.4923742), -0.03157554), -1.443155) * Lorentzian(bT, 0.74282587)) * (Lorentzian(bL, 1.3106443) * -0.029515572)"
25,5.736823e-8,"Lorentzian(bL, bT) * (((gaussian((bL * Lorentzian(bT, bT)) * -0.5701244) * Lorentzian(bT, bT)) * Lorentzian(Lorentzian(bL, gaussian(-0.03403499)), bT)) * -0.03403499)"
