Complexity,Loss,Equation
1,1.790708e-7,"-0.00023425481"
4,1.6915068e-7,"Lorentzian(bT) * -0.0027893968"
5,1.5588212e-7,"sqrt(Lorentzian(bL)) * -0.0009065851"
6,1.5117092e-7,"Lorentzian(bL * -0.498048) * -0.0009065851"
7,6.956682e-8,"Lorentzian(bT) * (Lorentzian(bL) * -0.026068583)"
9,6.453583e-8,"Lorentzian(bL * 0.7525517) * (Lorentzian(bT) * -0.020010687)"
11,6.1733985e-8,"Lorentzian(bT) * (Lorentzian(gaussian(bL)) * (Lorentzian(bL) * -0.031210352))"
13,6.1247114e-8,"((Lorentzian(Lorentzian(bL * 2.273668)) * Lorentzian(bT)) * Lorentzian(bL)) * -0.02965296"
14,5.868639e-8,"(Lorentzian(bT) * -0.016516568) * Lorentzian(Lorentzian(Lorentzian(bL * Lorentzian(bT))) * bL)"
17,5.8119756e-8,"gaussian(gaussian(gaussian(Lorentzian(bT) * bL) * bL)) * ((Lorentzian(bT) * -0.03416456) * Lorentzian(bL))"
19,5.644654e-8,"((gaussian((Lorentzian(bT) * bL) * 0.60115933) * (gaussian(gaussian(bL)) * Lorentzian(bT))) * Lorentzian(bL)) * -0.03529585"
21,5.643037e-8,"(((gaussian(gaussian(bL)) * gaussian((bL * Lorentzian(bT * 0.983797)) * 0.5958729)) * Lorentzian(bL)) * -0.03534712) * Lorentzian(bT)"
23,5.5121284e-8,"Lorentzian(bT) * ((gaussian(gaussian(gaussian((bL * -0.2503118) * (bL * gaussian(bT * -0.48373717))) * bL)) * Lorentzian(bL)) * -0.033829454)"
24,5.4986813e-8,"((gaussian(gaussian(bL * gaussian(bL * ((gaussian(bT * -0.48374563) * bL) * Lorentzian(1.6467679))))) * Lorentzian(bT)) * Lorentzian(bL)) * -0.03416456"
25,5.4980756e-8,"(gaussian(gaussian(bL * gaussian(((gaussian(bT * -0.48374563) * bL) * 1.4120148) * (bL * 0.19529992)))) * Lorentzian(bT)) * (Lorentzian(bL) * -0.03416456)"
27,5.466067e-8,"((Lorentzian(bL) * Lorentzian(bT)) * gaussian(Lorentzian(bL * gaussian(((gaussian(bT * 0.58001375) * -0.333571) * bL) * (bL * gaussian(gaussian(bT))))))) * -0.03686607"
