Complexity,Loss,Equation
1,1.790708e-7,"-0.00023425499"
5,1.47933e-7,"Lorentzian(bL, -0.9039652) * -0.00029594818"
7,7.447816e-8,"Lorentzian(bT, bL * bL) * -0.00967429"
9,6.5220135e-8,"(Lorentzian(bT, 1.4220163) * Lorentzian(bL, 1.92286)) * -0.042222828"
11,5.840117e-8,"Lorentzian(bL * (bL * -0.42971873), bT * bT) * -0.009778786"
13,5.8191215e-8,"-0.008982161 * Lorentzian(bT, Lorentzian(2.3944898 * Lorentzian(bL, gaussian(2.3944898)), gaussian(2.3944898)))"
14,5.749158e-8,"-0.008982161 * Lorentzian(bT, Lorentzian(2.3944898 * Lorentzian(bL, Lorentzian(-0.32738522, bT)), gaussian(-2.3076434)))"
15,4.657002e-8,"(Lorentzian(bT, Lorentzian(-0.005740736, Lorentzian(bL, 0.0011925685))) * -0.005740736) * Lorentzian(Lorentzian(2.1173806, bT), 0.43923712)"
16,4.540603e-8,"-0.0057451413 * (Lorentzian(Lorentzian(2.117381, bT), 0.4392375) * Lorentzian(bT, Lorentzian(gaussian(bL), Lorentzian(bL, -0.0057451413))))"
17,4.2031047e-8,"(Lorentzian(bT, Lorentzian(Lorentzian(-0.005740736, bL), 0.0011925685)) * -0.005740736) * Lorentzian(bL * Lorentzian(-2.3277652, bT), 0.43923712)"
18,4.1029093e-8,"(Lorentzian(bT, Lorentzian(Lorentzian(-0.005740736, bL), gaussian(2.1539192))) * -0.005740736) * Lorentzian(bL * Lorentzian(-2.3277652, bT), 0.43923712)"
19,3.8715108e-8,"Lorentzian(bT, Lorentzian(Lorentzian(-0.005740736, bL * 0.8463855), 0.0011925685)) * (-0.005740736 * Lorentzian(bL * Lorentzian(-2.3277652, bT), 0.43923712))"
25,3.74629e-8,"(Lorentzian(bT, Lorentzian(Lorentzian(-0.005740736, bL), 0.0011925685)) * -0.005740736) * Lorentzian(Lorentzian(-2.3277652, Lorentzian(-0.1533247, Lorentzian(Lorentzian(-0.1533247, bL), bT))) * (bL * -0.87665135), 0.43923712)"
