Complexity,Loss,Equation
1,1.9138827e-7,"-0.00019522848"
5,1.6466205e-7,"Lorentzian(bL, 3.1809332) * -0.002800213"
6,1.3908429e-7,"exp(Lorentzian(bL, -0.58194226)) * -0.00019288782"
7,1.0706002e-7,"Lorentzian(bT, bL * bL) * -0.009866169"
9,1.0257229e-7,"Lorentzian(bT, bL * (bL * 1.4570005)) * -0.009866169"
10,9.97449e-8,"Lorentzian(bL, Lorentzian(gaussian(bT), Lorentzian(bT, -0.3572476))) * -0.007008025"
11,7.182839e-8,"(Lorentzian(bT * n, n) * -1.289861) * Lorentzian(bL, 1.0785657)"
12,7.0315245e-8,"(Lorentzian(bL, gaussian(bL)) * Lorentzian(bT * n, n)) * -0.9718443"
14,6.902304e-8,"Lorentzian(bT * n, n * 1.9253747) * (Lorentzian(bL, gaussian(bL)) * -1.0704849)"
15,6.8779e-8,"Lorentzian(bT * n, n * exp(0.7500038)) * (Lorentzian(bL, gaussian(bL)) * -1.0704849)"
22,6.726617e-8,"(Lorentzian(bL, Lorentzian(Lorentzian(-16.38824, bL), exp(bL * bL))) * Lorentzian(bT * n, Lorentzian(0.078723714, Lorentzian(n, -0.4085342)))) * -1.2569406"
29,6.7234275e-8,"(Lorentzian(bL, Lorentzian(Lorentzian(Lorentzian(-0.5895039, -0.4085342), bL), exp(bL * bL))) * Lorentzian(bT * n, Lorentzian(Lorentzian(Lorentzian(0.34367976, -0.4085342), gaussian(bL)), Lorentzian(n, bT)))) * -1.2569406"
30,6.68073e-8,"Lorentzian(n * bT, Lorentzian(Lorentzian(n * 0.4081483, gaussian(n)), Lorentzian(n, bT))) * (Lorentzian(bL, Lorentzian(Lorentzian(Lorentzian(-0.10467873, bL), gaussian(bL)), exp(bL * bL))) * -1.2232977)"
