Complexity,Loss,Equation
1,1.9138827e-7,"-0.00019525085"
4,1.8812196e-7,"expdecay(n) * -0.46895286"
5,1.7810724e-7,"gaussian(expdecay(bT)) * -0.00032189302"
6,1.6558248e-7,"gaussian(bL * -0.43120694) * -0.00096300954"
8,1.328631e-7,"(gaussian(bL) * -0.021951435) * Lorentzian(bT, -0.024611399)"
10,8.9473446e-8,"Lorentzian(bT, 0.7366871) * (gaussian(bL * -0.4312072) * -0.012338709)"
12,7.345446e-8,"(gaussian(bL * 0.48558486) * Lorentzian(n * bT, 11.408815)) * -0.8195969"
14,6.8182985e-8,"(Lorentzian(n, -4.6194696) * (gaussian(bL * -0.47355953) * Lorentzian(bT, 0.8581027))) * -1.0421746"
15,6.5013644e-8,"((Lorentzian(bT, 1.3148416) * -1.2281777) * gaussian(bL * -0.4363612)) * Lorentzian(n, expdecay(bT))"
17,6.3931246e-8,"(Lorentzian(bT, 0.1503438 * n) * -1.2281777) * (gaussian(bL * -0.4363612) * Lorentzian(n, expdecay(bT)))"
18,6.25068e-8,"(gaussian(bL * -0.40403655) * (Lorentzian(bT, gaussian(Lorentzian(bL, -0.026632769))) * -0.9095519)) * Lorentzian(n, expdecay(bT))"
19,5.6953773e-8,"Lorentzian(n, expdecay(bT)) * ((-0.8001048 * gaussian(bL * (Lorentzian(bT, 0.75765836) * bT))) * Lorentzian(bT, 0.07872476))"
21,5.5875994e-8,"(Lorentzian(n, expdecay(bT)) * gaussian((bL * Lorentzian(bT, 0.7483756)) * bT)) * (Lorentzian(bT, bT * 0.08779079) * -0.78553057)"
22,5.5752235e-8,"(gaussian(bL * (Lorentzian(bT, gaussian(n * 0.07439412)) * bT)) * (Lorentzian(bT, 0.0006875474) * -0.79657084)) * Lorentzian(n, expdecay(bT))"
24,5.5007856e-8,"Lorentzian(n, expdecay(bT)) * ((gaussian(bL * (Lorentzian(bT, gaussian(n * 0.0726706)) * bT)) * -0.7952247) * Lorentzian(bT, bT * 0.07872476))"
