Complexity,Loss,Equation
1,0.00011248885,"0.0046974197"
3,0.000111138965,"Lorentzian(n, 126.55504)"
4,9.425522e-5,"gaussian(bT) * 0.05287473"
5,8.359187e-5,"Lorentzian(bT * n, -16.291948)"
6,5.9627717e-5,"Lorentzian(bL, n) * gaussian(bT)"
7,3.9629478e-5,"Lorentzian(bL, n) * Lorentzian(bT, 1.2107385)"
8,3.122102e-5,"(Lorentzian(bL, 0.95186204) * gaussian(bT)) * 0.34099102"
9,1.3592917e-5,"Lorentzian(bL, Lorentzian(Lorentzian(-0.005999069, bT), -0.027530203)) * 0.11910938"
10,1.2804504e-5,"Lorentzian(bL, expdecay(0.080728136)) * Lorentzian(bT * bT, n)"
11,7.0610718e-6,"Lorentzian(bT, n) * Lorentzian(bL, Lorentzian(0.27422655, Lorentzian(bT, -0.16876425)))"
13,6.405011e-6,"Lorentzian(bT, n) * (Lorentzian(bL, Lorentzian(0.13008149, Lorentzian(bT, -0.041223016))) * 1.1883882)"
14,6.3450434e-6,"(Lorentzian(bT, n) * 1.1937023) * Lorentzian(bL, Lorentzian(-0.1658998, Lorentzian(bT, gaussian(n))))"
15,4.1975295e-6,"Lorentzian(bT, (n * 0.09889338) * n) * Lorentzian(bL, Lorentzian(Lorentzian(0.06905975, bT), 0.05504422))"
17,4.19562e-6,"Lorentzian(bT, n * (n * 0.09873157)) * Lorentzian(bL, Lorentzian(Lorentzian(n * -0.007361684, bT), 0.05507949))"
19,3.6755484e-6,"Lorentzian(bL, Lorentzian(Lorentzian(-0.06574036, bT), Lorentzian(n * 0.50726914, -1.4338204))) * Lorentzian(bT, 0.09878287 * (n * n))"
21,3.6674478e-6,"Lorentzian(bT, n * (n * 0.09878287)) * Lorentzian(bL, Lorentzian(Lorentzian(0.068326876, bT), Lorentzian(n * 0.50726914, Lorentzian(bT, -0.9801672))))"
22,3.664903e-6,"Lorentzian(bT, (n * n) * 0.09878287) * Lorentzian(bL, Lorentzian(Lorentzian(0.06298775, bT), Lorentzian(n * 0.46370777, expdecay(Lorentzian(bL, -0.55997753)))))"
23,3.6206256e-6,"Lorentzian(bT, (n * n) * 0.09878287) * Lorentzian(bL, Lorentzian(Lorentzian(0.068326876, bT), Lorentzian(n * 0.50726914, -1.4338204) * expdecay(gaussian(bT))))"
26,3.4969771e-6,"Lorentzian(bT, n * (n * 0.09878287)) * Lorentzian(bL, Lorentzian(Lorentzian(0.068326876, bT), Lorentzian(n * 0.50726914, -1.2560295 * n) * expdecay(gaussian(gaussian(n)))))"
27,3.4118377e-6,"Lorentzian(bT, (n * n) * 0.1025672) * Lorentzian(bL, Lorentzian(Lorentzian(Lorentzian(n, -0.4091387) * 0.23046443, bT), Lorentzian(0.7365874 * -2.798184, Lorentzian(-1.0146434, n * -0.105105996))))"
