Complexity,Loss,Equation
1,0.00012894277,"0.005522043"
3,0.00012440814,"Lorentzian(bL, 141.7225)"
4,0.00010668651,"gaussian(bT) * 0.060847864"
5,9.388025e-5,"Lorentzian(bT, 0.50338435) * 0.03247312"
6,5.3006355e-5,"Lorentzian(bL, 4.258604) * gaussian(bT)"
7,4.9938782e-5,"Lorentzian(bL, 2.5394902) * Lorentzian(bT, 2.5394902)"
8,3.107042e-5,"(gaussian(bT) * Lorentzian(bL, 1.0129677)) * 0.40280327"
9,5.066448e-6,"(Lorentzian(bL, 1.3351194) * Lorentzian(bT, 0.288694)) * 0.2167528"
13,4.3419172e-6,"Lorentzian(bL, 8.459907) * ((3.677188 * Lorentzian(bT, 0.27285153)) * Lorentzian(bL, 2.95671))"
15,2.3027053e-6,"(Lorentzian(bT * -1.6528369, 0.6284129) * gaussian(bL * gaussian(bT))) * Lorentzian(bL, 2.4524791)"
17,2.1487879e-6,"gaussian((bL * gaussian(bT)) * 0.77481014) * (Lorentzian(bT * -1.6528369, 0.77481014) * Lorentzian(bL, 2.4524791))"
18,2.0031655e-6,"(gaussian(gaussian(bT) * (bL * gaussian(0.45017722))) * Lorentzian(bL, 2.4524791)) * Lorentzian(bT * -1.6528369, 0.7188432)"
19,9.753506e-7,"Lorentzian(bL, 2.547819) * (Lorentzian(Lorentzian(bT, -1.4394493) * (bL * -0.23851553), 1.5637004) * Lorentzian(bT * -1.3544936, 0.109425895))"
20,7.967767e-7,"Lorentzian(bT * -1.7673455, 0.007102266) * ((Lorentzian((gaussian(bT) * bL) * 2.5386293, 3.738562) * 4.577122) * Lorentzian(bL, 3.0542521))"
22,7.4199875e-7,"((Lorentzian(bL * (gaussian(bT) * (bT * -2.727623)), 3.698211) * Lorentzian(bL, 3.6106215)) * 3.6327128) * Lorentzian(bT * -1.5017171, -0.12028151)"
23,5.9554145e-7,"((Lorentzian((Lorentzian(bT * 1.4017644, -0.021265151) * -2.041298) * bL, 3.6841934) * Lorentzian(bT * 1.4702575, -0.09366983)) * Lorentzian(bL, 3.6837182)) * 3.6311054"
