Complexity,Loss,Equation
1,1.7573402e-7,"-0.00015257798"
4,1.711438e-7,"gaussian(bT) * -0.0045443214"
5,1.3998832e-7,"Lorentzian(bL, -0.7754076) * -0.00048180483"
7,7.954839e-8,"Lorentzian(bT, bL * bL) * -0.008327657"
9,7.918041e-8,"Lorentzian(bT, (bL * 1.2294861) * bL) * -0.009118934"
10,4.0919065e-8,"Lorentzian(bT * n, Lorentzian(0.016225684, gaussian(bL))) * -0.5237765"
11,3.421378e-8,"Lorentzian(bL, 1.4723308) * (-1.6744053 * Lorentzian(bT * n, n))"
12,3.332579e-8,"(Lorentzian(bT * n, expdecay(bL)) * Lorentzian(bL, 1.5402284)) * -1.6162953"
13,3.0706254e-8,"(Lorentzian(bL, Lorentzian(bL, 0.7191814)) * Lorentzian(bT * n, n)) * -1.2069621"
15,2.9319146e-8,"Lorentzian(bL, Lorentzian(bL, 0.5143266)) * (Lorentzian(bT * n, n * 1.9352474) * -1.3548317)"
16,2.8136693e-8,"(Lorentzian(bT * n, expdecay(n * -0.41573063)) * -1.3548317) * Lorentzian(bL, Lorentzian(bL, 0.68388975))"
17,2.7213392e-8,"(Lorentzian(bT * n, Lorentzian(0.06564919, Lorentzian(n, -11.212175))) * -1.6744053) * Lorentzian(bL, Lorentzian(bL, 0.40754002))"
19,2.6605028e-8,"(Lorentzian(n * bT, Lorentzian(Lorentzian(bL, n), Lorentzian(n, n))) * -1.6744053) * Lorentzian(bL, Lorentzian(bL, 0.40754002))"
21,2.6085228e-8,"(-1.6744053 * Lorentzian(n * bT, Lorentzian(Lorentzian(bL, n), Lorentzian(n, expdecay(bL))))) * Lorentzian(bL, Lorentzian(bL, expdecay(0.8871059)))"
