Complexity,Loss,Equation
1,0.00011248885,"0.0046980786"
3,0.00010966731,"Lorentzian(bL, 171.37682)"
4,9.425522e-5,"gaussian(bT) * 0.052874833"
5,8.359186e-5,"Lorentzian(bT * n, -16.296926)"
6,7.706982e-5,"Lorentzian(bT * -6.424018, exp(bL))"
7,7.3821975e-5,"Lorentzian(bT * -6.424018, bL * bL)"
8,1.9255573e-5,"Lorentzian(bT * 3.2430744, exp(bL * bL))"
10,1.3089858e-5,"Lorentzian((n * bT) * 0.37356892, exp(bL * bL))"
11,6.108021e-6,"Lorentzian((n * bT) * 0.2883493, 0.83978224) * Lorentzian(bL, 1.2413723)"
14,5.977272e-6,"Lorentzian((Lorentzian(-0.5371108, gaussian(bL * 0.5289091)) * (bT * 0.4565657)) * n, 0.0037413992)"
15,5.91231e-6,"Lorentzian((bT * (Lorentzian(0.54849285, gaussian(bL * 0.542247)) * n)) * 0.4542762, gaussian(bT))"
16,5.6101276e-6,"Lorentzian(Lorentzian(0.5819266, gaussian(0.5308099 * bL)) * ((0.47297648 * bT) * n), bL * bL)"
19,4.323706e-6,"Lorentzian(Lorentzian(0.0027878697, Lorentzian(Lorentzian(bT, -0.10277883) * bL, Lorentzian(0.046918128, Lorentzian(bL, n)))) * (bT * 0.36078805), -0.046363097)"
20,4.2831985e-6,"Lorentzian(Lorentzian(0.006154294, Lorentzian(Lorentzian(bT, -0.1523338) * bL, Lorentzian(0.044764694, Lorentzian(bL, n)))) * (bT * 0.35410228), expdecay(n))"
22,4.2826787e-6,"Lorentzian((bT * 0.35410228) * Lorentzian(0.006154294, Lorentzian(Lorentzian(bT, -0.1523338) * bL, Lorentzian(0.044764694, Lorentzian(bL, n)))), Lorentzian(n, expdecay(-0.9496925)))"
24,4.282638e-6,"Lorentzian((bT * 0.35410228) * Lorentzian(0.006154294, Lorentzian(Lorentzian(bT, -0.1523338) * bL, Lorentzian(0.044764694, Lorentzian(bL, n)))), Lorentzian(n, expdecay(-0.30080256 * 1.0197228)))"
25,4.2365286e-6,"Lorentzian((bT * Lorentzian(-0.09043836, Lorentzian(Lorentzian(Lorentzian(-0.027204547, bL) * bT, Lorentzian(Lorentzian(bL, -1.2311159), n)), Lorentzian(-0.026186185, Lorentzian(bL, n))))) * 0.37885207, 0.2919666)"
26,4.2265037e-6,"Lorentzian(bT * (0.37885207 * Lorentzian(-0.09043836, Lorentzian(Lorentzian(bT * Lorentzian(-0.027204547, bL), Lorentzian(Lorentzian(bL, -1.2311159), n)), Lorentzian(0.022082606, Lorentzian(bL, n))))), exp(-1.4111545))"
27,3.675393e-6,"Lorentzian(Lorentzian(Lorentzian(Lorentzian(bL, n), n), Lorentzian(Lorentzian(bT * Lorentzian(-0.03876552, bL), Lorentzian(bL, n)), Lorentzian(0.011087772, Lorentzian(bL, n)))) * (bT * 0.39927915), 0.6729338)"
28,3.083783e-6,"Lorentzian(bT * (Lorentzian(Lorentzian(Lorentzian(bL, -2.0149457), n), Lorentzian(Lorentzian(bT * Lorentzian(-0.03876552, bL), Lorentzian(-1.1035475, n)), Lorentzian(0.011087772, Lorentzian(bL, n)))) * 0.39927915), gaussian(bT))"
