Complexity,Loss,Equation
1,0.00011248885,"0.0046972856"
3,0.00011113938,"Lorentzian(n, 125.734344)"
4,9.425522e-5,"gaussian(bT) * 0.05287473"
5,8.522749e-5,"Lorentzian(bT * n, -5.790581)"
6,5.6137378e-5,"Lorentzian(bL, 5.4591117) * gaussian(bT)"
7,1.5569423e-5,"Lorentzian(bL, bT * bT) * 0.111615635"
9,8.999364e-6,"Lorentzian(bL, bT * bT) * Lorentzian(0.0012002608, n)"
11,5.91883e-6,"Lorentzian(bL, n) * Lorentzian(bL * 0.74925035, bT * bT)"
13,3.2207454e-6,"Lorentzian(bL * (n * -0.08767307), bT * bT) * Lorentzian(bL, n)"
17,2.2453157e-6,"Lorentzian(bL * (-0.13267027 * n), n) * Lorentzian((bL * -0.083216645) * n, bT * bT)"
19,2.1002602e-6,"Lorentzian((n * -0.08988561) * bL, bT * bT) * Lorentzian(((n * bL) * -0.014406151) * n, n)"
21,2.0308933e-6,"Lorentzian((n * -0.083646856) * bL, bT * bT) * Lorentzian(((n * (bL * -0.037427276)) * 0.425743) * n, n)"
23,2.0308794e-6,"Lorentzian((n * -0.08326289) * bL, bT * bT) * Lorentzian(((bL * 0.48374322) * ((n * -0.10399094) * n)) * -0.31871682, n)"
