Complexity,Loss,Equation
1,1.7003711e-7,"-0.0001859273"
5,1.2035927e-7,"Lorentzian(bL, -0.9118657) * -0.0002868036"
6,1.0318897e-7,"2.6677739e-5 * Lorentzian(gaussian(bL), -0.14408332)"
7,1.0240278e-7,"Lorentzian(Lorentzian(bL, 1.65507), -0.14849095) * 2.4242983e-5"
8,9.979725e-8,"Lorentzian(bL * gaussian(bL), -0.14408332) * 2.6677739e-5"
9,2.7015925e-8,"(Lorentzian(bL, 1.7370118) * Lorentzian(bT, 0.672948)) * -0.03375715"
10,2.3390447e-8,"Lorentzian(bT, 0.8356325) * (gaussian(bL * 0.42156062) * -0.015329327)"
13,2.2106207e-8,"(-0.030359805 * (gaussian(gaussian(bL)) * Lorentzian(bT, 0.88750225))) * Lorentzian(bL, 0.80606157)"
17,2.1809871e-8,"gaussian(gaussian(bL) * gaussian(gaussian(bT))) * (Lorentzian(bT, 1.0368437) * (Lorentzian(bL, 0.81480044) * -0.031784147))"
18,2.081175e-8,"Lorentzian(bT, 0.83669883) * (-0.015993115 * gaussian((bT * -0.44700858) * (bL * Lorentzian(bT * -0.24489339, bT))))"
19,2.0314594e-8,"(Lorentzian(bT, 0.83669883) * -0.015993115) * gaussian((bL * Lorentzian(bT * -0.24489339, bT)) * (bT * gaussian(-0.9259555)))"
20,1.4187963e-8,"Lorentzian(bT, 0.7779007) * (-0.016190652 * gaussian((bL * Lorentzian((bL * bT) * -0.08294869, bT)) * (-0.45725605 * bT)))"
25,1.14696626e-8,"(gaussian(bT * (Lorentzian(gaussian(Lorentzian(-1.0813265, bT)) * (bL * (-0.088884726 * bT)), bT) * (bL * -0.45658743))) * Lorentzian(bT, 0.77798164)) * -0.015703492"
27,1.1358534e-8,"(Lorentzian(bT, 0.77798134) * gaussian(bT * ((Lorentzian((gaussian(Lorentzian(-1.0813286, bT) * 0.99975616) * bL) * (bT * -0.0890352), bT) * bL) * -0.4565682))) * -0.016133726"
28,1.107689e-8,"Lorentzian(bT, 0.7779312) * (gaussian(Lorentzian(((gaussian(Lorentzian(gaussian(Lorentzian(bT, -0.01619828)), bT)) * 0.09191512) * bL) * bT, bT) * ((bL * bT) * 0.45106262)) * -0.01585516)"
30,1.0453869e-8,"Lorentzian(bT, 0.7779892) * (gaussian(Lorentzian(((bL * gaussian(Lorentzian(bT, -0.94094056))) * (gaussian(Lorentzian(0.88494813, bT)) * bT)) * -0.095999084, bT) * (bL * (bT * -0.4544445))) * -0.016009847)"
