Complexity,Loss,Equation
1,0.00011248885,"0.004697007"
3,0.000111139474,"Lorentzian(n, 125.6288)"
4,9.425522e-5,"gaussian(bT) * 0.05287569"
5,8.3591876e-5,"Lorentzian(n * bT, -16.298721)"
6,5.9627717e-5,"gaussian(bT) * Lorentzian(bL, n)"
7,1.5569425e-5,"Lorentzian(bT, bL * bL) * 0.11161546"
9,8.9993655e-6,"Lorentzian(bT, bL * bL) * Lorentzian(0.0039279833, n)"
10,8.999365e-6,"Lorentzian(bT, bL * bL) * Lorentzian(gaussian(n), n)"
11,5.91883e-6,"Lorentzian(bT, (bL * bL) * 0.5613826) * Lorentzian(bL, n)"
13,5.913742e-6,"(Lorentzian(bT, (bL * bL) * 0.5395089) * 0.9828719) * Lorentzian(bL, n)"
15,4.0005766e-6,"Lorentzian(n * -0.33770454, bL * bL) * Lorentzian(bT, (bL * 0.5518205) * bL)"
17,3.7351772e-6,"Lorentzian(n * -0.34564295, bL * bL) * Lorentzian(bT * 1.0023286, (bL * bL) * 0.55219805)"
21,3.6566712e-6,"Lorentzian(bT, bL * bL) * ((10.857719 * Lorentzian(n, Lorentzian(expdecay(gaussian(-0.17470828)), gaussian(n)))) * gaussian(0.25713462 * bT))"
29,3.629316e-6,"Lorentzian(bT, n) * Lorentzian(bT * expdecay(Lorentzian(n * -0.041457426, Lorentzian(n * bL, expdecay(-1.3920095))) * expdecay(n * 0.4321196)), bL * (bL * expdecay(0.10570283)))"
30,3.5073595e-6,"Lorentzian(bT, n) * Lorentzian(bT * expdecay(Lorentzian(0.041228063 * n, Lorentzian(bL * n, expdecay(-1.3920095))) * expdecay(n * 0.4321196)), (bL * bL) * gaussian(gaussian(bL)))"
