Complexity,Loss,Equation
1,1.7573402e-7,"-0.0001525779"
4,1.711438e-7,"gaussian(bT) * -0.004545361"
5,1.4711266e-7,"Lorentzian(bL, 3.3591635) * -0.0027160929"
6,1.2333666e-7,"expdecay(Lorentzian(bL, -1.2824897)) * -0.00010530394"
8,1.0138956e-7,"Lorentzian(bL, Lorentzian(-0.08603523, gaussian(bT))) * -0.022944102"
9,5.108444e-8,"Lorentzian(bT, 0.426909) * (Lorentzian(bL, 1.390669) * -0.024359958)"
10,5.0446253e-8,"(Lorentzian(bL, 1.52717) * Lorentzian(bT, gaussian(bT))) * -0.024359958"
11,4.7299935e-8,"Lorentzian(bL, 0.15872788 * n) * (-0.024359958 * Lorentzian(bT, 0.59861964))"
12,4.638382e-8,"Lorentzian(bL, 0.15872788 * n) * (-0.024359958 * Lorentzian(bT, expdecay(0.7876014)))"
13,4.3825715e-8,"Lorentzian(-0.027951637, Lorentzian(Lorentzian(bT, n), -0.00030360822) * -0.6915161) * Lorentzian(bL, 1.9642562)"
14,4.2168637e-8,"Lorentzian(1.7312573, Lorentzian(Lorentzian(bT, n), expdecay(n)) * -0.9123233) * Lorentzian(bL, 1.7312573)"
15,3.8847134e-8,"(-0.6954918 * Lorentzian(Lorentzian(-0.034782, Lorentzian(bT, n * 0.75206846)), -6.182826)) * Lorentzian(bL, 1.5269492)"
16,3.646472e-8,"Lorentzian(bL, Lorentzian(Lorentzian(bT, n * 0.42672098), expdecay(n))) * (Lorentzian(bL, 1.1966053) * -0.37484556)"
17,3.4441978e-8,"Lorentzian(bL, 1.5498254) * (-1.513304 * Lorentzian(Lorentzian(Lorentzian(0.565238, n), Lorentzian(bT * -1.6072626, n)), -2.125679))"
18,3.4020275e-8,"Lorentzian(Lorentzian(Lorentzian(-0.61062217, n), Lorentzian(bT * -1.6072626, n)), expdecay(bL)) * (Lorentzian(bL, 1.5498254) * -1.513304)"
19,3.0987433e-8,"Lorentzian(bL, 1.335728) * (-1.513304 * Lorentzian(Lorentzian(Lorentzian(Lorentzian(bL, 0.565238), n), Lorentzian(bT * -1.6072626, n)), -2.125679))"
20,2.6970913e-8,"(-1.3897957 * Lorentzian(bL, Lorentzian(Lorentzian(-0.04490453, bT), Lorentzian(-0.04490453, n)))) * Lorentzian(bL, Lorentzian(Lorentzian(bT, n), expdecay(n)))"
21,2.6969278e-8,"(Lorentzian(bL, Lorentzian(Lorentzian(0.050874468, bT), Lorentzian(expdecay(n), n))) * -1.3897957) * Lorentzian(bL, Lorentzian(Lorentzian(bT, n), expdecay(n)))"
24,2.6647815e-8,"Lorentzian(Lorentzian(-0.22445245, Lorentzian(bL, 0.6900992)), Lorentzian(Lorentzian(bT, n), expdecay(n))) * (Lorentzian(bL, Lorentzian(Lorentzian(Lorentzian(bL, n), bT), 0.0902268)) * -1.513304)"
26,2.4575511e-8,"Lorentzian(Lorentzian(0.12490998, Lorentzian(bL, 0.12507516)), Lorentzian(Lorentzian(bT, n), expdecay(n))) * (-1.513304 * Lorentzian(bL, Lorentzian(Lorentzian(Lorentzian(bL, n), bT), Lorentzian(-0.14628147, n))))"
28,2.4060865e-8,"-1.513304 * (Lorentzian(Lorentzian(Lorentzian(-0.22445245, n), Lorentzian(bL, -0.33144462)), Lorentzian(Lorentzian(bT, n), expdecay(n))) * Lorentzian(bL, Lorentzian(Lorentzian(Lorentzian(bL, n), bT), Lorentzian(-0.66780037, n))))"
29,2.4022473e-8,"(-1.513304 * Lorentzian(Lorentzian(Lorentzian(-0.22445245, n), Lorentzian(bL, -0.33144462)), Lorentzian(Lorentzian(bT, n), expdecay(n)))) * Lorentzian(bL, Lorentzian(Lorentzian(Lorentzian(bL, n), bT), Lorentzian(gaussian(n), n)))"
30,2.3936625e-8,"(-1.513304 * Lorentzian(Lorentzian(Lorentzian(-0.22445245, n), Lorentzian(bL, -1.0054173 * 0.6900992)), Lorentzian(Lorentzian(bT, n), expdecay(n)))) * Lorentzian(bL, Lorentzian(Lorentzian(Lorentzian(bL, n), bT), Lorentzian(-0.67494726, n)))"
