Complexity,Loss,Equation
1,8.401525e-7,"-0.00029361813"
4,5.1069435e-7,"decay(bsq) * -0.105106734"
5,1.7075047e-7,"Lorentzian(bsq, 4.5354447) * -0.12758689"
7,1.4537346e-7,"Lorentzian(bsq * 0.36490983, bsq) * -0.035382375"
9,1.4426418e-7,"(Lorentzian(3.066772, bsq) * -0.30936098) * Lorentzian(8.230404e-5, bsq)"
10,1.3209669e-7,"Lorentzian(gaussian(gaussian(gaussian(Pb))) * bsq, 0.48044154) * -0.025443846"
13,1.2663642e-7,"(Lorentzian(bsq, 0.030336209) * Lorentzian(gaussian(gaussian(gaussian(Pb))), decay(bsq))) * -0.025068725"
14,1.2119183e-7,"Lorentzian(gaussian(gaussian(gaussian(gaussian(gaussian(Pb * Pb))))) * bsq, 0.87487596) * -0.038550176"
15,1.2096402e-7,"Lorentzian(gaussian(gaussian(gaussian(Pb))), Lorentzian(bsq, gaussian(bsq))) * (Lorentzian(bsq, -0.4359445) * -0.0274823)"
16,1.134335e-7,"(Lorentzian(bsq, 0.41500217) * -0.026211282) * Lorentzian(gaussian(gaussian(gaussian(Pb) * Pb)), Lorentzian(bsq, 1.1439816))"
17,1.128521e-7,"(Lorentzian(bsq, -0.04649982) * -0.026100377) * Lorentzian(gaussian(gaussian(gaussian(Pb) * Pb)), Lorentzian(bsq, gaussian(bsq)))"
18,1.07360236e-7,"(Lorentzian(bsq, 0.00022137951) * -0.027132003) * Lorentzian(gaussian(gaussian(gaussian(Pb * Pb) * Pb)), Lorentzian(bsq, 0.56433207))"
19,1.07316495e-7,"(Lorentzian(bsq, -0.041979946) * -0.027132003) * Lorentzian(gaussian(gaussian(gaussian(Pb * Pb) * Pb)), Lorentzian(bsq, decay(0.7472749)))"
20,1.0715799e-7,"(Lorentzian(gaussian(gaussian(Pb * gaussian(Pb * Pb))), Lorentzian(bsq, decay(gaussian(Pb)))) * -0.027132003) * Lorentzian(bsq, -0.041979946)"
22,1.06712875e-7,"(Lorentzian(gaussian(gaussian((Pb * Pb) * gaussian(Pb * (Pb * Pb)))), Lorentzian(bsq, 1.2495238)) * Lorentzian(bsq, 0.36655718)) * -0.026705552"
24,1.0589893e-7,"(Lorentzian(gaussian(gaussian(gaussian(Pb * Pb) * Pb)), Lorentzian(bsq, Pb * Pb) * decay(gaussian(bsq))) * -0.027132003) * Lorentzian(bsq, -0.041979946)"
25,1.03238605e-7,"Lorentzian(bsq * 0.4206697, bsq) * (Lorentzian(decay(Lorentzian(Lorentzian(Pb, gaussian(Lorentzian(Pb * Pb, -1.2420042))) * bsq, -0.20854938)), Lorentzian(bsq, 0.32746747)) * -0.02902167)"
27,9.0242395e-8,"Lorentzian(bsq * 0.4206697, bsq) * (Lorentzian(decay(Lorentzian(bsq * Lorentzian(Pb, gaussian(Pb * Lorentzian(Pb * Pb, -1.2420042))), -0.20854938)), Lorentzian(bsq, 0.32746747)) * -0.02902167)"
