Complexity,Loss,Equation
1,8.4015244e-7,"-0.00029367185"
4,5.1069435e-7,"decay(bsquare) * -0.10510768"
5,1.6386892e-7,"-0.15229085 * Lorentzian(bsquare, 7.2786326)"
7,1.4426416e-7,"Lorentzian(bsquare, bsquare * 9.311119) * -0.3070549"
9,1.4131616e-7,"(decay(gaussian(Pb)) * Lorentzian(bsquare, 3.1817985)) * -0.17838672"
10,1.2068712e-7,"Lorentzian(bsquare, (bsquare * gaussian(Pb)) * 9.050604) * -0.18510188"
12,1.1525476e-7,"Lorentzian(bsquare, (bsquare * gaussian(Pb * Pb)) * 7.971832) * -0.19143975"
14,1.0598109e-7,"Lorentzian(bsquare, gaussian((Pb * Pb) * 0.5963263) * (bsquare * 6.6355634)) * -0.1951217"
16,9.768776e-8,"Lorentzian(bsquare, bsquare * (gaussian(Lorentzian(0.4176404, Lorentzian(Lorentzian(Pb, -1.9198749), -0.81321234))) * 5.4721026)) * -0.1795675"
17,9.722528e-8,"Lorentzian(bsquare, (gaussian(Lorentzian(bsquare * 0.060307454, gaussian(Pb)) * -0.17982076) * bsquare) * 12.064904) * -0.31856933"
19,9.4557464e-8,"Lorentzian(bsquare, Lorentzian(Lorentzian((bsquare * Lorentzian(Pb, -1.9364551)) * 0.11777658, -1.5360602), 0.76519775) * (bsquare * 7.9717956)) * -0.21858919"
20,8.3779874e-8,"-0.21993536 * Lorentzian(bsquare, (decay(Lorentzian(Lorentzian(Lorentzian(Pb * (bsquare * 0.13005906), -1.5359067), -0.93864393), 0.3038601)) * bsquare) * 7.9716935)"
22,8.2518056e-8,"Lorentzian(bsquare, decay(Lorentzian(Lorentzian(Lorentzian((Lorentzian(Pb, -1.9374332) * bsquare) * 0.13005906, -1.5359067), -0.93864393), 0.3038601)) * (bsquare * 7.9716935)) * -0.21993536"
23,8.207142e-8,"Lorentzian(bsquare, decay(Lorentzian(Lorentzian(Lorentzian((Lorentzian(Pb, -1.9374332) * bsquare) * -0.11677859, -1.5359067), -0.93864393), gaussian(-1.0331392))) * (bsquare * 7.9716935)) * -0.21993536"
24,7.5229515e-8,"Lorentzian(bsquare, decay(Lorentzian(Lorentzian(Lorentzian(Lorentzian(bsquare * (Lorentzian(Pb, -1.9372478) * -0.11352711), -1.5335635), 0.24914084), -1.5366554), 0.038045295)) * (bsquare * 7.9717607)) * -0.21885818"
