Complexity,Loss,Equation
1,8.401525e-7,"-0.00029362531"
4,5.1069435e-7,"decay(bsq) * -0.10510763"
5,1.6490576e-7,"Lorentzian(bsq, 7.257877) * -0.14657488"
7,1.442814e-7,"Lorentzian(bsq * 0.32242474, bsq) * -0.032663606"
10,1.4154759e-7,"Lorentzian(-0.046006877, bsq) * (decay(bsq * 0.055485763) * -0.029527962)"
13,1.3918988e-7,"(0.6124903 * Lorentzian(bsq, 0.7132801)) * (-0.21740936 * decay(gaussian(Pb * Pb)))"
14,1.2749142e-7,"decay(gaussian(Pb)) * (-0.21626025 * Lorentzian(bsq * 1.1164248, Lorentzian(0.52010125, gaussian(bsq))))"
15,1.17336164e-7,"Lorentzian(bsq, bsq) * (-0.19154532 * gaussian(gaussian(decay(gaussian(Pb)) * (bsq * 0.20972735))))"
17,1.125604e-7,"(Lorentzian(bsq * -1.1169958, 1.1547811) * -0.21062425) * decay(gaussian(((Pb * Pb) * bsq) * 0.25379995))"
18,1.1254843e-7,"(-0.21626025 * decay(gaussian(Pb * (decay(1.3712089) * (bsq * Pb))))) * Lorentzian(-1.1169958 * bsq, bsq)"
19,1.0695468e-7,"-0.21626025 * (gaussian(gaussian((bsq * 0.25379995) * decay(gaussian(Lorentzian(Pb, -2.2473536))))) * Lorentzian(bsq * -1.1169958, bsq))"
21,9.978666e-8,"(-0.04417959 * Lorentzian(bsq * -0.15470411, bsq)) * gaussian(gaussian(Lorentzian(-0.15470411 * bsq, 0.40749365) * gaussian(gaussian(Pb) * bsq)))"
23,8.824518e-8,"(Lorentzian(bsq * (bsq * -0.009432008), bsq) * -0.045943603) * gaussian(gaussian(Lorentzian(bsq * 0.14262354, 0.40244278) * gaussian(bsq * gaussian(Pb))))"
25,7.864126e-8,"(decay(gaussian(gaussian(bsq * gaussian(Pb)) * Lorentzian(bsq * 0.129447, 0.328454))) * Lorentzian((Pb * bsq) * (bsq * 0.0035026723), bsq)) * -0.045945216"
27,7.852869e-8,"(decay(gaussian((gaussian(gaussian(Pb) * bsq) * Lorentzian(bsq * 0.12932833, 0.31763238)) * 0.97726)) * Lorentzian(((Pb * bsq) * bsq) * 0.0035683017, bsq)) * -0.045248657"
