Complexity,Loss,Equation
1,8.401525e-7,"-0.00029363093"
4,5.1069435e-7,"decay(bsq) * -0.10509777"
5,1.6388269e-7,"Lorentzian(bsq, 7.399448) * -0.15331319"
7,1.4426355e-7,"Lorentzian(bsq * 0.32699594, bsq) * -0.03295016"
10,1.2760249e-7,"Lorentzian(bsq * gaussian(decay(gaussian(Pb))), 0.33092764) * -0.032374166"
12,1.16454736e-7,"Lorentzian(bsq * decay(decay(gaussian(Pb * Pb))), 0.26298368) * -0.024159389"
13,1.16352105e-7,"Lorentzian(bsq * Lorentzian(gaussian(gaussian(Pb) * -3.5020256), 1.6422335), 0.8407757) * -0.031232947"
14,1.1190101e-7,"Lorentzian(bsq * Lorentzian(gaussian(-0.38902763 * Lorentzian(Pb, -0.94590163)), 1.5261916), 0.63895494) * -0.028429585"
16,1.0123227e-7,"Lorentzian(bsq * Lorentzian(gaussian(decay(gaussian(Lorentzian(Pb, -0.67840564)) * bsq)), 1.1283332), 0.6491747) * -0.04191584"
18,9.896488e-8,"Lorentzian(bsq * Lorentzian(decay(gaussian(gaussian(Lorentzian(Pb, -0.67840564) * -0.82584554) * bsq)), 1.1283332), 0.6491747) * -0.04191584"
21,9.882756e-8,"-0.04191584 * Lorentzian(bsq * Lorentzian(decay(gaussian(bsq * (gaussian(-0.27418613) * gaussian(Lorentzian(Pb, -0.67840564) * -0.82584554)))), 1.1283332), 0.6491747)"
22,9.8692645e-8,"Lorentzian(bsq * Lorentzian(decay(gaussian(gaussian(Lorentzian(Pb * (Pb * Pb), -0.67840564) * -0.82584554) * bsq)), 1.1283332), 0.6491747) * -0.04191584"
25,9.8499136e-8,"Lorentzian(bsq * Lorentzian(decay(gaussian(((gaussian(Lorentzian(Pb, -0.67840564) * -0.82584554) * 1.0829412) * decay(Lorentzian(Pb, bsq))) * bsq)), 1.1283332), 0.6491747) * -0.04191584"
28,9.848674e-8,"Lorentzian(Lorentzian(decay(gaussian(((gaussian(Lorentzian(Pb, -0.67840564) * 0.8185336) * 1.0829412) * decay(Lorentzian(Pb, bsq) * decay(-0.04191584))) * bsq)), 1.1283332) * bsq, 0.6491747) * -0.04191584"
29,9.8469386e-8,"Lorentzian(bsq * Lorentzian(decay(gaussian(1.0829412 * (bsq * (decay(Lorentzian(Pb, bsq) * Lorentzian(1.1283332, -0.42744842)) * gaussian(Lorentzian(Pb, -0.67840564) * -0.82584554))))), 1.1283332), 0.6491747) * -0.04191584"
30,9.843936e-8,"Lorentzian(bsq * Lorentzian(decay(gaussian((1.0829412 * (decay(Lorentzian(Pb, bsq) * gaussian(Lorentzian(bsq, -0.42744842))) * bsq)) * gaussian(Lorentzian(Pb, -0.67840564) * -0.82584554))), 1.1283332), 0.6491747) * -0.04191584"
