Complexity,Loss,Equation
1,2.9073027e-7,"-0.00021813705"
4,1.8275851e-7,"decay(bsq) * -0.06276855"
5,5.5282507e-9,"Lorentzian(bsq, 10.11156) * -0.113555856"
9,4.2156008e-9,"Lorentzian(1.6181953, bsq) * (Lorentzian(1.6176621, bsq) * -0.17535014)"
10,4.1991406e-9,"(Lorentzian(gaussian(Pb), bsq) * Lorentzian(-2.380752, bsq)) * -0.1856472"
12,3.6072476e-9,"(Lorentzian(2.3723445, bsq) * Lorentzian(gaussian(Pb * bsq), bsq)) * -0.16876768"
14,3.3403549e-9,"(Lorentzian(-2.305611, bsq) * Lorentzian(gaussian((Pb * 0.570369) * bsq), bsq)) * -0.17042147"
16,3.2784782e-9,"Lorentzian(gaussian(Pb * ((bsq * Pb) * 2.3944952)), bsq) * (-0.17151369 * Lorentzian(-2.3077843, bsq))"
18,3.2520044e-9,"Lorentzian(-2.32496, bsq) * (-0.1702563 * Lorentzian(gaussian(gaussian(gaussian(Pb * bsq)) * (Pb * -3.3618262)), bsq))"
20,3.2312935e-9,"Lorentzian(-2.3250914, bsq) * (Lorentzian(gaussian((Pb * 4.750751) * gaussian(gaussian((bsq * 0.45151427) * Pb))), bsq) * -0.1690945)"
22,3.2102303e-9,"(Lorentzian(-2.3250914, bsq) * -0.1690945) * Lorentzian(gaussian(Pb * (gaussian(gaussian(((bsq * 0.10978408) * Pb) * bsq)) * 4.750751)), bsq)"
24,3.2058691e-9,"-0.1702563 * (Lorentzian(gaussian(decay(-1.5611476) * (gaussian(gaussian(Lorentzian(Lorentzian(bsq * Pb, -0.09574548), gaussian(Pb)))) * Pb)), bsq) * Lorentzian(-2.32496, bsq))"
28,3.1925764e-9,"Lorentzian(gaussian((gaussian(gaussian((Lorentzian(bsq * 0.21390478, Lorentzian(Pb * bsq, -0.09574548)) * Pb) * bsq)) * Pb) * 4.7642856), bsq) * (Lorentzian(-2.32496, bsq) * -0.1702563)"
