Complexity,Loss,Equation
1,2.9073024e-7,"-0.00021814666"
4,1.8275851e-7,"decay(bsq) * 0.06276849"
5,3.1495656e-8,"Lorentzian(bsq, 2.617706) * 0.06683127"
6,2.3111356e-8,"decay(bsq * 0.2234588) * 0.010531065"
7,5.5278466e-9,"Lorentzian(bsq * -0.34497398, 1.19903) * 0.0134939"
9,4.3900363e-9,"Lorentzian(-1.1597583, bsq) * (Lorentzian(-2.129969, bsq) * -0.18120511)"
10,4.200705e-9,"(Lorentzian(2.3951104, bsq) * -0.18691973) * Lorentzian(gaussian(Pb), bsq)"
11,3.782524e-9,"Lorentzian(2.0040655, bsq) * (Lorentzian(Lorentzian(Pb, 0.72884077), bsq) * -0.17902441)"
12,3.6269083e-9,"(Lorentzian(2.396254, bsq) * Lorentzian(gaussian(bsq * Pb), bsq)) * -0.17199256"
14,3.3113339e-9,"(Lorentzian(gaussian(Pb * (Pb * -7.4998884)), bsq) * Lorentzian(2.281335, bsq)) * -0.16992167"
16,3.2531027e-9,"Lorentzian(gaussian((Pb * (Pb * 2.391436)) * bsq), bsq) * (Lorentzian(2.2813416, bsq) * -0.1695749)"
17,3.1730538e-9,"Lorentzian(2.395935, bsq) * (Lorentzian(gaussian(bsq * (Pb * gaussian(bsq * 0.14888059))), bsq) * -0.17641166)"
18,3.052476e-9,"Lorentzian(decay((Pb * Lorentzian(-2.3322384 * Pb, -0.97392076)) * Pb), bsq) * (-0.18346822 * Lorentzian(2.395511, bsq))"
20,2.9978335e-9,"Lorentzian(decay((Pb * Pb) * (Lorentzian(Pb * -2.3322144, -0.97394407) * 1.1015011)), bsq) * (Lorentzian(2.3956518, bsq) * -0.18166806)"
24,2.7397409e-9,"Lorentzian(2.3954036, bsq) * (Lorentzian(Lorentzian(Pb, -2.393897) * (gaussian(Pb * Lorentzian((bsq * Pb) * Pb, -0.9738927)) * -2.393811), bsq) * -0.18407756)"
26,2.6001608e-9,"Lorentzian(2.3957508, bsq) * (Lorentzian((Lorentzian(Pb, -2.3937945) * -2.3939192) * gaussian(Lorentzian((Pb * bsq) * Pb, -0.97392243) * (Pb * -1.4562875)), bsq) * -0.18030196)"
