Complexity,Loss,Equation
1,8.401525e-7,"-0.0002934959"
4,5.1069435e-7,"decay(bsq) * 0.10510914"
5,1.8901167e-7,"Lorentzian(bsq, 2.7352195) * 0.106929764"
7,1.444076e-7,"Lorentzian(bsq * -0.31426302, bsq) * 0.0321462"
9,1.4426418e-7,"(Lorentzian(3.0506175, bsq) * Lorentzian(0.0035611463, bsq)) * -0.30704534"
12,1.4329896e-7,"(Lorentzian(-3.4592407, bsq) * gaussian(gaussian(gaussian(bsq)))) * Lorentzian(-0.23410644, bsq)"
13,1.3499546e-7,"Lorentzian(Lorentzian(Pb, bsq) * (bsq * (-0.4728255 * bsq)), bsq) * 0.036387812"
14,1.167128e-7,"(Lorentzian(Lorentzian(decay(-0.19079283) * Pb, -0.52931887), bsq) * Lorentzian(-0.27334186, bsq)) * -0.17729081"
17,1.08093516e-7,"(Lorentzian(Lorentzian((bsq * Pb) * 0.23561594, -0.5947022) * -0.5173668, bsq) * Lorentzian(-2.0148106, bsq)) * -0.26658192"
19,9.825242e-8,"(Lorentzian(Lorentzian(Pb * ((Pb * (Pb * -0.45846125)) * -1.2102087), -0.52931887), bsq) * Lorentzian(0.3067745, bsq)) * -0.1772908"
21,9.82427e-8,"Lorentzian(Lorentzian(((Pb * Pb) * Pb) * (Pb * Pb), -0.5398652), bsq) * (Lorentzian(Lorentzian(-1.3154536, bsq), bsq) * -0.17446677)"
23,9.768562e-8,"Lorentzian(Lorentzian(-1.2031211, bsq), bsq) * (Lorentzian(Lorentzian(Lorentzian(Lorentzian(0.3540782, bsq) * (bsq * -0.4609344), 0.5987125) * Pb, -0.53962433), bsq) * -0.18137543)"
28,9.767166e-8,"Lorentzian(Lorentzian(((Lorentzian(decay(Pb * -0.08392171), bsq) * -2.615223) * Pb) * (((Pb * bsq) * -0.27334186) * Pb), -0.52931887), bsq) * (Lorentzian(-0.41321936, bsq) * -0.17729081)"
