Complexity,Loss,Equation
1,8.4015244e-7,"-0.00029350637"
4,5.1069435e-7,"decay(bsq) * 0.105106734"
5,1.6387122e-7,"Lorentzian(bsq, 7.3171253) * 0.15267658"
9,1.4440934e-7,"Lorentzian(-3.1825078, bsq) * (Lorentzian(0.0057919025, bsq) * -0.32580918)"
11,1.3505671e-7,"(decay(gaussian(Pb) * -1.6004404) * Lorentzian(bsq, bsq)) * -0.20938118"
13,1.1391812e-7,"gaussian(gaussian((Pb * -0.49755397) * Pb)) * (Lorentzian(bsq, bsq) * -0.1946492)"
14,1.0944642e-7,"(gaussian(gaussian(bsq * gaussian(decay(gaussian(Pb))))) * -0.20320326) * Lorentzian(bsq, bsq)"
15,1.0777207e-7,"Lorentzian(bsq, bsq) * (gaussian(gaussian((Pb * Pb) * (bsq * 0.14138903))) * -0.19657962)"
16,1.07459e-7,"(gaussian(gaussian(gaussian(decay(gaussian(Pb))) * (bsq * 1.533591))) * Lorentzian(bsq, bsq)) * -0.19783957"
18,1.0596936e-7,"(gaussian(gaussian(gaussian(decay(gaussian(Pb))) * decay(bsq * gaussian(-0.9422776)))) * Lorentzian(bsq, bsq)) * -0.19783957"
19,1.029377e-7,"gaussian(gaussian(bsq * (gaussian(gaussian((Pb * 0.45928466) * Pb)) * 0.26905373))) * (Lorentzian(bsq, bsq) * -0.19016482)"
20,9.942579e-8,"(Lorentzian(bsq, bsq) * -0.20225945) * gaussian(gaussian((gaussian(decay(gaussian(Pb * -0.4594609))) * (bsq * bsq)) * bsq))"
21,9.890582e-8,"gaussian(gaussian(gaussian(gaussian(gaussian(gaussian(Pb) * bsq) * Pb)) * (bsq * 0.27184203))) * (-0.19211006 * Lorentzian(bsq, bsq))"
23,9.6055665e-8,"gaussian(gaussian((gaussian(gaussian(Pb * gaussian(gaussian(Pb * -0.8888937) * bsq))) * 0.27095097) * bsq)) * (Lorentzian(bsq, bsq) * -0.2007976)"
26,9.594909e-8,"Lorentzian(bsq, bsq) * (-0.19783957 * gaussian(gaussian(gaussian(decay(gaussian(Pb * (0.38902262 * Pb)))) * ((bsq * bsq) * ((-1.3169259 * -1.5552297) * bsq)))))"
29,9.4657786e-8,"gaussian(gaussian((0.27184203 * gaussian(gaussian(gaussian(bsq * gaussian(gaussian(bsq * (-0.89355564 * gaussian(Pb))) * Pb)) * Pb))) * bsq)) * (Lorentzian(bsq, bsq) * -0.19211006)"
30,9.3418905e-8,"gaussian(gaussian((gaussian(gaussian(decay(gaussian(gaussian(Pb * -0.89355564) * bsq)) * gaussian(gaussian(Pb * -0.89355564) * bsq))) * 0.27184203) * bsq)) * (Lorentzian(bsq, bsq) * -0.19211006)"
