Complexity,Loss,Equation
1,8.4015244e-7,"-0.00029346222"
3,2.9192697e-7,"-0.01682533 / bsq"
5,1.5396347e-7,"(-0.024538422 / bsq) - -0.0005207706"
7,1.4134503e-7,"(-0.02094831 / (bsq - 0.41787136)) + 0.00042329397"
11,1.16087406e-7,"0.17408171 / (((Pb * Pb) - bsq) * (6.559159 + bsq))"
13,1.1364619e-7,"0.20784943 / ((bsq + 9.310238) * (((Pb * Pb) / 0.8980301) - bsq))"
15,1.11511824e-7,"(0.21711124 / ((((Pb * Pb) / 0.8968284) - bsq) * (bsq + 9.481699))) - -4.941225e-5"
17,1.11393426e-7,"(0.21711124 / ((((Pb * Pb) / 0.8968284) - bsq) * ((bsq * 1.036371) + 9.481699))) - -4.941225e-5"
22,1.0803449e-7,"0.21603338 / ((((Pb * (bsq * Pb)) / bsq) + (decay(bsq * (0.3379324 + bsq)) - bsq)) * (bsq + 9.481709))"
24,1.07245654e-7,"0.22335942 / ((bsq + 10.457744) * (((Pb * (Pb * bsq)) / (bsq - 0.31589496)) + (decay((bsq * bsq) + 0.14880835) - bsq)))"
