Complexity,Loss,Equation
1,8.4015244e-7,"-0.00029367185"
3,2.9192697e-7,"-0.016825385 / bsq"
5,1.5396348e-7,"(-0.024539813 / bsq) + 0.00052091473"
7,1.4138173e-7,"(-0.02079114 / (bsq + -0.43121386)) + 0.00041872647"
9,1.4134922e-7,"(-0.021019286 / ((bsq + 0.58930457) - 0.9995722)) + 0.00042532265"
11,1.413444e-7,"(-0.0046737352 / (((bsq - 0.14278474) + -0.27252808) * 0.22299042)) + 0.00042361466"
14,1.396179e-7,"(-0.02069915 / ((bsq + 0.5893085) - decay((Pb * Pb) * -0.05871409))) + 0.00043182954"
15,1.3617425e-7,"((-0.0029291182 / ((bsq * 0.35298085) - (0.13431844 / (Pb + 1.7201297)))) + 0.00017043896) / 0.4064058"
17,1.3616905e-7,"(((-0.0029291182 / ((bsq * 0.35298085) - (0.13431844 / (1.7201297 + Pb)))) + 0.00017043896) / 0.35298085) * 0.8479298"
18,1.2974613e-7,"((-0.0029291182 / ((-0.1528951 / decay(-0.1528951 / (Pb + 1.4362239))) + (bsq * 0.35298085))) + 0.00017043896) / 0.4064058"
20,1.2384011e-7,"(0.00017043896 + (-0.0029291182 / ((bsq * 0.35298085) + (-0.1528951 / decay(-0.0847749 / (1.4362239 + (Pb * -0.94878876))))))) / 0.4064058"
22,1.2383128e-7,"(0.00017043896 + (-0.0029291182 / ((bsq * 0.35298085) + (-0.1528951 / decay((-0.0847749 / (1.4362239 + (Pb * 0.9499592))) / 0.9499592))))) / 0.4064058"
27,1.2099197e-7,"((-0.0029385767 / (((bsq * 0.35298076) + -0.15289517) / decay(-0.0029385767 / (((((bsq * 0.35298076) + -0.15289517) / decay(0.00016746519)) + Pb) / bsq)))) + 0.00016746519) / 0.40640578"
28,1.163039e-7,"((-0.0027889882 / ((bsq * 0.35298294) + (-0.15289305 / decay(-0.08477711 / ((((bsq * (bsq * 0.5911186)) - 1.843257) * (Pb + 1.5793518)) * -0.45269826))))) + 0.00015626961) / 0.4064068"
