Complexity,Loss,Equation
1,8.4015244e-7,"-0.00029350637"
4,5.1069435e-7,"decay(bsq) * -0.10510765"
5,1.644968e-7,"Lorentzian(bsq, 6.3245196) * -0.14444137"
7,1.447267e-7,"Lorentzian(bsq * 0.30466238, bsq) * -0.03146952"
8,1.447125e-7,"Lorentzian(decay(1.1871403) * bsq, bsq) * -0.03146952"
9,1.4128126e-7,"(decay(gaussian(Pb)) * Lorentzian(bsq, 3.8774738)) * -0.18774061"
10,1.2998609e-7,"Lorentzian(0.5232718, gaussian(Pb)) * (Lorentzian(bsq, 0.8861572) * -0.05823207)"
11,1.2068018e-7,"decay(gaussian(Pb * Pb)) * (Lorentzian(bsq, bsq) * -0.1751297)"
12,1.0986062e-7,"(gaussian(decay(gaussian(Lorentzian(Pb, -0.3758347)))) * -0.2104098) * Lorentzian(bsq, 1.4997108)"
14,9.798884e-8,"gaussian(gaussian(bsq * gaussian(Lorentzian(Pb, -0.6762644)))) * (Lorentzian(bsq, 1.0082614) * -0.18050292)"
16,9.7216756e-8,"(gaussian(gaussian(bsq * gaussian(Lorentzian(Pb, bsq * -0.1696334)))) * -0.18278064) * Lorentzian(bsq, 0.9688016)"
17,9.359788e-8,"(Lorentzian(bsq, gaussian(-0.17788343)) * gaussian(decay(bsq * gaussian(Lorentzian(Pb, bsq * -0.23089914))))) * -0.17788343"
18,7.608047e-8,"(decay(gaussian(gaussian(Lorentzian(0.82301074 * Pb, bsq * -0.12668383)) * bsq)) * Lorentzian(bsq, 1.4559265)) * -0.20266019"
22,7.5981525e-8,"Lorentzian(gaussian(0.036619205) * bsq, decay(-0.37564248)) * (-0.20266019 * decay(gaussian(gaussian(Lorentzian(Pb * 0.82301074, bsq * -0.12668383)) * bsq)))"
25,7.5182356e-8,"(Lorentzian(bsq, 1.4559265) * decay(gaussian(gaussian(Lorentzian(Pb * 0.82301074, bsq * -0.12668383)) * bsq))) * (gaussian(Pb * (bsq * 0.0032919368)) * -0.20266019)"
26,7.4700274e-8,"gaussian((bsq * decay(bsq)) * bsq) * ((Lorentzian(bsq, 0.79983616) * -0.22900018) * decay(gaussian(bsq * gaussian(Lorentzian(Pb * 0.8210878, bsq * -0.13052517)))))"
27,7.293974e-8,"(Lorentzian(bsq, gaussian(Pb)) * (decay(gaussian(bsq * gaussian(Lorentzian(Pb * 0.82418036, bsq * -0.12533572)))) * -0.20760915)) * gaussian((bsq * bsq) * decay(bsq))"
