Complexity,Loss,Equation
1,8.4015244e-7,"-0.00029368253"
4,5.1069435e-7,"decay(bsq) * -0.10510768"
5,1.6387528e-7,"Lorentzian(bsq, 7.3537116) * -0.15295081"
7,1.504491e-7,"Lorentzian(bsq * 0.4199573, bsq) * -0.04005165"
9,1.4109312e-7,"decay(gaussian(Pb)) * (Lorentzian(bsq, 3.6591563) * -0.18491694)"
11,1.2059414e-7,"(decay(gaussian(Pb * Pb)) * -0.17695743) * Lorentzian(bsq, bsq)"
12,1.0511898e-7,"Lorentzian(bsq, 2.040179) * (-0.2216026 * gaussian(decay(gaussian(Lorentzian(Pb, -0.73122674)))))"
14,1.0423479e-7,"Lorentzian(bsq, 1.7984182) * (gaussian(gaussian(gaussian(Lorentzian(Pb * -1.6063234, -1.0113448)))) * -0.20700516)"
16,1.0263751e-7,"-0.20328589 * (Lorentzian(bsq, 1.5736817) * gaussian(gaussian(gaussian(Lorentzian(Pb * 1.5736817, -0.5219147 * bsq)))))"
17,9.881548e-8,"gaussian(gaussian(decay(Lorentzian(gaussian(Pb), -0.21482576)) * (bsq * 0.44991034))) * (-0.18481408 * Lorentzian(bsq, 1.323635))"
18,9.8001436e-8,"(Lorentzian(bsq, bsq) * -0.21596904) * gaussian(gaussian(gaussian(Lorentzian(Pb * (Pb * Pb), bsq * -0.23809499))))"
19,9.6660365e-8,"(Lorentzian(bsq, 1.1515691) * -0.18481408) * gaussian(gaussian((bsq * bsq) * (decay(Lorentzian(gaussian(Pb), -0.18481408)) * -0.06652866)))"
20,8.943945e-8,"Lorentzian(bsq, bsq) * (-0.22056974 * gaussian(gaussian(decay(Lorentzian(bsq * -0.16367708, Pb * ((bsq * -0.07563906) * Pb))))))"
22,8.8248726e-8,"gaussian(gaussian(gaussian(Lorentzian(bsq * 0.17135215, Pb * ((Pb * Pb) * (Pb * -0.59305334)))))) * (Lorentzian(bsq, 1.7237264) * -0.2150171)"
24,8.054049e-8,"(Lorentzian(bsq, 1.7238649) * gaussian(gaussian(decay(Lorentzian(bsq * 0.18821716, ((Pb * -0.78432626) * Pb) * ((Pb * 0.21049343) * Pb)))))) * -0.21807161"
27,8.040774e-8,"(Lorentzian(bsq, 1.7238649) * gaussian(gaussian(decay(Lorentzian(bsq * 0.18821716, (Pb * -0.78432626) * ((Pb * (Pb * (gaussian(-0.28252518) * 0.21049343))) * Pb)))))) * -0.21807161"
