Complexity,Loss,Equation
1,4.4121975e-7,"-0.00025337934"
4,4.1768638e-7,"gaussian(Pb) * -0.00060221856"
5,3.8542183e-8,"Lorentzian(bsq, 7.364619) * -0.11909186"
7,3.8329294e-8,"Lorentzian(bsq * -0.3173463, bsq) * -0.024864579"
9,2.2921183e-8,"(gaussian(gaussian(Pb)) * -0.19569388) * Lorentzian(bsq, 3.9958465)"
10,2.1216325e-8,"(Lorentzian(bsq, 4.707573) * -0.21280986) * gaussian(Lorentzian(Pb, 1.0026884))"
11,2.0222517e-8,"gaussian(gaussian(Pb * 2.2777064)) * (-0.14009404 * Lorentzian(bsq, 4.400459))"
13,1.8922254e-8,"(gaussian(gaussian(gaussian(gaussian(Pb * -1.7886658)))) * Lorentzian(bsq, 4.7819543)) * -0.16157676"
15,1.8189876e-8,"(Lorentzian(bsq, 4.7824526) * -0.15910174) * gaussian(gaussian(gaussian(gaussian(Pb * -2.2984893) * 1.1734501)))"
21,1.8084453e-8,"Lorentzian(bsq, 4.7823186) * (gaussian(gaussian(gaussian(gaussian(Pb * -1.7912772) * gaussian(gaussian(gaussian(gaussian(bsq)))))) * 1.172493) * -0.17253652)"
22,1.7990168e-8,"(-0.16984306 * Lorentzian(bsq, 4.7823524)) * (1.0196629 * gaussian(gaussian(gaussian(gaussian(gaussian(gaussian(Pb * -1.826332))) * gaussian(Pb))) * 1.1729243))"
24,1.7289587e-8,"(gaussian(gaussian(gaussian((gaussian(gaussian(gaussian(Pb * -1.826332))) * gaussian(gaussian(bsq))) * gaussian(Pb))) * 1.1729243) * Lorentzian(bsq, 4.7823524)) * -0.17318267"
26,1.7289585e-8,"(Lorentzian(bsq, 4.7823524) * -0.16984306) * (gaussian(gaussian(gaussian((gaussian(gaussian(bsq)) * gaussian(gaussian(gaussian(Pb * -1.826332)))) * gaussian(Pb))) * 1.1729243) * 1.0196629)"
30,1.7281673e-8,"-0.16776559 * (gaussian(gaussian(gaussian((gaussian(gaussian(gaussian(Pb) * (gaussian(Pb * -1.7910663) * (gaussian(Lorentzian(bsq, bsq)) * 1.173031)))) * gaussian(Pb)) * 1.173031))) * Lorentzian(bsq, 4.7823734))"
