Complexity,Loss,Equation
1,4.4121975e-7,"-0.00025337984"
4,4.1768638e-7,"gaussian(Pb) * -0.0006021783"
5,4.6594987e-8,"Lorentzian(bsq, 4.02376) * -0.0945024"
7,3.838867e-8,"Lorentzian(bsq * -0.31438273, bsq) * -0.024497332"
9,3.578254e-8,"Lorentzian(-1.5321391, bsq) * (Lorentzian(1.4145509, bsq) * -0.18058084)"
10,2.8277746e-8,"(Lorentzian(2.065571, bsq) * -0.18568093) * Lorentzian(gaussian(Pb), bsq)"
11,1.854837e-8,"Lorentzian(0.8271772, bsq) * (Lorentzian(Lorentzian(Pb, 0.44341853), bsq) * -0.154652)"
13,1.8403211e-8,"Lorentzian(Lorentzian(Pb * 1.5210803, 0.48637688), bsq) * (Lorentzian(1.3379111, bsq) * -0.1623487)"
14,1.8391319e-8,"Lorentzian(gaussian(Lorentzian(-1.1661255, bsq)), bsq) * (Lorentzian(Lorentzian(Pb, 0.4450685), bsq) * -0.1616143)"
15,1.8016907e-8,"(Lorentzian(1.21154, bsq) * -0.1551982) * Lorentzian(Lorentzian(Lorentzian(Pb, 0.4832312) * 0.4747999, -1.4069942), bsq)"
17,1.7706668e-8,"Lorentzian(Lorentzian(Lorentzian(Pb, 0.48035276) * 0.48035276, -1.406744), bsq) * (-0.14286315 * Lorentzian(gaussian(gaussian(bsq)), bsq))"
18,1.6813686e-8,"(Lorentzian(Lorentzian(Lorentzian(Pb, 0.4780354) * 0.48584482, -1.405864), bsq) * -0.1430138) * Lorentzian(gaussian(Lorentzian(bsq, Pb)), bsq)"
19,1.5877001e-8,"(Lorentzian(gaussian(gaussian(Pb * 16.191975)), bsq) * Lorentzian(Lorentzian(Lorentzian(Pb, 0.47761223) * 0.48325697, -1.4059286), bsq)) * -0.14423172"
20,1.5522724e-8,"Lorentzian(gaussian(Lorentzian(bsq, 0.47953868)) * Lorentzian(Lorentzian(Pb, 0.4801536) * 0.47953868, -1.4077888), bsq) * (Lorentzian(1.3550078, bsq) * -0.16637762)"
21,1.5228755e-8,"(Lorentzian(Lorentzian(Lorentzian(Pb, 0.4771593) * 0.4837846, -1.4057426), bsq) * Lorentzian(gaussian(gaussian(Lorentzian(Pb, -0.059543394) * Pb)), bsq)) * -0.14413095"
23,1.5187116e-8,"(Lorentzian(Lorentzian(Lorentzian(Pb, 0.47761223) * 0.48325697, -1.4059286), bsq) * -0.14423172) * Lorentzian(gaussian(-1.0616637 * gaussian(Lorentzian(Pb, -0.05954106) * Pb)), bsq)"
25,1.4811279e-8,"Lorentzian(gaussian(gaussian(Lorentzian(Pb * Pb, 0.057287764) * (Pb * -1.0616637))), bsq) * (Lorentzian(Lorentzian(Lorentzian(Pb, 0.47761223) * 0.48325697, -1.4059286), bsq) * -0.14423172)"
27,1.4782791e-8,"(-0.14423172 * Lorentzian(Lorentzian(Lorentzian(Pb, 0.47761223) * 0.48325697, -1.4059286), bsq)) * Lorentzian(gaussian(gaussian(Lorentzian(Pb, 0.057287764) * (Lorentzian(Pb, 0.057287764) * (Pb * -1.0616637)))), bsq)"
28,1.47716275e-8,"Lorentzian(Lorentzian(Lorentzian(Pb, 0.4769501) * 0.48402876, -1.4056592), bsq) * (-0.14343631 * Lorentzian(gaussian(gaussian(Lorentzian(gaussian(Lorentzian(Pb, -0.059520632) * Pb) * -1.0616767, -0.05912422) * -0.08419897)), bsq))"
