Complexity,Loss,Equation
1,2.5196516e-5,"-0.0024803197"
4,6.0045086e-6,"decay(bsq) * -0.069633774"
5,3.034492e-6,"Lorentzian(bsq, 3.3234987) * -0.09708872"
7,2.9579692e-6,"Lorentzian(bsq * 0.21663879, bsq) * -0.024899857"
9,2.7478493e-6,"(Lorentzian(bsq, 1.6543535) * -0.16149399) * decay(gaussian(Pb))"
11,2.6566968e-6,"-0.19458607 * (Lorentzian(bsq, 2.194894) * decay(gaussian(Pb * 0.7562966)))"
13,2.5346924e-6,"((decay(gaussian(Pb)) * -0.3262348) * Lorentzian(-0.01927344, bsq)) * Lorentzian(-2.047809, bsq)"
15,2.507379e-6,"((gaussian(gaussian(Pb * 0.63828206)) * -0.34585285) * Lorentzian(2.007733, bsq)) * Lorentzian(0.30659574, bsq)"
17,2.5009508e-6,"decay(gaussian(Pb * 0.78169525)) * (Lorentzian(0.8018701, bsq) * (Lorentzian(1.3662257, bsq * 0.78609836) * -0.26675075))"
18,2.4869237e-6,"(Lorentzian(1.3597065, bsq) * (Lorentzian(0.79629695, bsq) * decay(gaussian(Pb * gaussian(Lorentzian(-0.09584054, bsq)))))) * -0.2928025"
20,2.4857582e-6,"Lorentzian(1.3597065, bsq) * ((Lorentzian(0.79629695, bsq) * -0.2928025) * decay(gaussian(gaussian(Lorentzian(-0.09584054, bsq * 0.9480064)) * Pb)))"
22,2.367207e-6,"((-0.28808376 * Lorentzian(1.3604556, bsq)) * Lorentzian(-0.7869607, bsq)) * gaussian(gaussian(Pb * gaussian(gaussian(gaussian(0.12067829 * Lorentzian(Pb, -0.61810154))))))"
24,2.3666962e-6,"(Lorentzian(1.3604556, bsq) * (Lorentzian(-0.7869607, bsq) * gaussian(gaussian(Pb * gaussian(gaussian(gaussian(Lorentzian(Pb, -0.54896224) * (Pb * 0.12067829)))))))) * -0.28808376"
26,2.3592575e-6,"(-0.28808376 * Lorentzian(1.3604556, bsq)) * (Lorentzian(-0.7869607, bsq) * gaussian(gaussian(Pb * gaussian(gaussian(gaussian(gaussian(gaussian(Lorentzian(Pb, -0.61810154) * (Pb * 0.12067829)))))))))"
30,2.3501277e-6,"(Lorentzian(1.3613062, bsq) * (Lorentzian(-0.7876936, bsq) * gaussian(gaussian(-0.83773655 * (Pb * gaussian(Pb * gaussian((0.81784487 * -1.407812) * gaussian(Lorentzian(Pb, -0.61808586) * -0.12425271)))))))) * -0.28427362"
