Complexity,Loss,Equation
1,17.860056,"-0.0002534321"
4,10.387283,"decay(bsq) * -0.0797262"
5,1.560142,"Lorentzian(bsq, 7.365071) * -0.11909675"
7,1.0289907,"Lorentzian(bsq, Lorentzian(Pb, 0.078625664)) * -0.109731756"
9,0.7601941,"Lorentzian(bsq, bsq * Lorentzian(Pb, 0.12369642)) * -0.14624928"
11,0.73048687,"Lorentzian(bsq, (Lorentzian(Pb, 0.18527903) * bsq) * 1.5652083) * -0.16257095"
13,0.7213,"Lorentzian(gaussian(decay(Lorentzian(Pb * 4.9291563, bsq))) * bsq, 0.6372239) * -0.020387469"
15,0.59391975,"Lorentzian(bsq * gaussian(decay(Lorentzian(Pb * 4.6856766, bsq * 0.55072314))), 0.66235566) * -0.023302553"
19,0.59303343,"Lorentzian(gaussian(decay(Lorentzian(Pb * -6.0038924, bsq) * Lorentzian(bsq * 0.011046677, 0.5674969))) * bsq, 0.63153553) * -0.023192812"
20,0.5730185,"Lorentzian(gaussian(decay(Lorentzian(Pb * (decay(gaussian(gaussian(Pb))) * -6.7441096), bsq * 0.40498433))) * bsq, 0.72305113) * -0.026726596"
21,0.5679725,"Lorentzian(bsq * gaussian(decay(Lorentzian(Lorentzian(Lorentzian(Pb * -5.9878116, -0.7826562), 0.9987816) * (Pb * -5.9878116), bsq))), 0.56833255) * -0.019771034"
22,0.56644154,"Lorentzian(gaussian(decay(Lorentzian((Lorentzian(Lorentzian(Pb * -5.9878116, -0.9716589), gaussian(-0.19650784)) * -5.9878116) * Pb, bsq))) * bsq, 0.56833255) * -0.019771034"
23,0.5653068,"Lorentzian(bsq * gaussian(decay(Lorentzian(Lorentzian(Lorentzian(Pb * -5.9878116, -0.7826562), -0.6279655 * -1.5531915) * (Pb * -5.9878116), bsq))), 0.56833255) * -0.019771034"
25,0.5511703,"Lorentzian(bsq * gaussian(decay(Lorentzian(decay(gaussian(Lorentzian(bsq * Lorentzian(Pb * -7.5559273, -1.7759787), 0.35056823))) * (Pb * -7.5559273), bsq))), 0.6828326) * -0.020574361"
26,0.5491779,"Lorentzian(bsq * gaussian(decay(Lorentzian(decay(decay(Lorentzian(bsq * Lorentzian(Pb * -6.4179926, -1.7759787), gaussian(bsq)))) * (Pb * -7.5559273), bsq))), 0.6828326) * -0.020574361"
27,0.5357728,"Lorentzian(gaussian(decay(Lorentzian((Pb * gaussian(gaussian(Lorentzian(2.1769792e-23, Lorentzian(Lorentzian((Pb * bsq) * bsq, -1.8295832), -0.6897085))))) * 7.0433226, bsq))) * bsq, 0.65280205) * -0.020748995"
30,0.53056,"Lorentzian(gaussian(decay(Lorentzian(gaussian(gaussian(Lorentzian(decay(bsq), Lorentzian(Lorentzian((Pb * bsq) * bsq, -1.8295832), Lorentzian(Pb, -1.9709562))))) * (Pb * 7.0433226), bsq))) * bsq, 0.65280205) * -0.020748995"
