Complexity,Loss,Equation
1,3.342574e-9,"-0.0002534321"
4,1.9440176e-9,"decay(bsq) * -0.07972151"
5,2.9214103e-10,"Lorentzian(bsq, 7.155104) * -0.117761664"
7,1.9365447e-10,"Lorentzian(bsq, Lorentzian(Pb, 0.077848464)) * -0.108117595"
9,1.7981928e-10,"-0.107458025 * Lorentzian(bsq, Lorentzian(Pb, Lorentzian(bsq, 6.8049035)))"
11,1.706182e-10,"Lorentzian(bsq, Lorentzian(Pb, Lorentzian(-1.3887945, bsq) * 0.3272734)) * -0.110828646"
12,1.5525654e-10,"Lorentzian(bsq, 1.155145) * (-0.12596178 * decay(Lorentzian(Pb * bsq, 0.8502371)))"
13,1.5496353e-10,"(decay(Lorentzian(Pb * bsq, gaussian(-0.42058742))) * Lorentzian(bsq, 1.155145)) * -0.12596178"
14,1.4740913e-10,"(Lorentzian(bsq, bsq) * -0.14226134) * decay(Lorentzian(bsq * Pb, decay(decay(bsq))))"
16,1.4563509e-10,"(Lorentzian(bsq, bsq) * decay(Lorentzian(Pb * (bsq * -1.1602856), decay(decay(bsq))))) * -0.13592072"
21,1.4127467e-10,"(Lorentzian(bsq * gaussian(Lorentzian(bsq, Lorentzian(Pb, -0.5048362)) * Pb), bsq) * decay(Lorentzian(Pb * bsq, 0.82678777))) * -0.14275318"
25,1.3563982e-10,"(Lorentzian(bsq * gaussian(Pb * (2.27119 * Lorentzian(Lorentzian(Pb, -0.5048362) * Pb, bsq))), bsq) * decay(Lorentzian(Pb * bsq, 0.77436244))) * -0.14275318"
27,1.2727094e-10,"(Lorentzian(gaussian((Pb * 2.27119) * Lorentzian((Lorentzian(Pb, -0.5048362) * Pb) * Pb, bsq)) * bsq, bsq) * decay(Lorentzian(Pb * bsq, 0.77436244))) * -0.14275318"
28,1.2674202e-10,"(Lorentzian(bsq * gaussian((Pb * 2.27119) * Lorentzian((Lorentzian(Pb, -0.5048362) * Pb) * Pb, bsq)), bsq) * decay(Lorentzian(bsq * Pb, gaussian(-0.51263773)))) * -0.14275318"
29,1.2483028e-10,"Lorentzian(gaussian((Pb * 2.27119) * Lorentzian((Lorentzian(Pb, -0.5048362) * Pb) * Pb, bsq)) * bsq, bsq) * (decay(Lorentzian((Pb * 0.96199805) * bsq, 0.77436244)) * -0.14275318)"
