Complexity,Loss,Equation
1,5.0261114e-8,"0.00046131667"
4,4.1379227e-8,"decay(bsq) * 0.09394558"
5,2.896332e-8,"Lorentzian(7.064438e-5, bsq) * 0.019153578"
7,2.7492543e-8,"Lorentzian(bsq * 0.14598724, bsq) * 0.023875486"
9,2.6186939e-8,"Lorentzian(bsq * (Pb * -0.03950897), bsq) * 0.02177684"
11,2.4917277e-8,"Lorentzian(Pb * ((bsq * 0.012802922) * Pb), bsq) * 0.021876888"
13,2.416572e-8,"Lorentzian(((Pb * Pb) * bsq) * (bsq * 0.00039251757), bsq) * 0.021864798"
15,2.3709608e-8,"Lorentzian((Pb * -0.00012469017) * (bsq * (Pb * (Pb * bsq))), bsq) * 0.022333862"
17,2.3461737e-8,"Lorentzian(((Pb * Pb) * Pb) * ((bsq * Pb) * (bsq * -4.099675e-5)), bsq) * 0.022334026"
21,2.3150319e-8,"Lorentzian(((Pb * Pb) * (bsq * (Pb * Pb))) * (((Pb * bsq) * -5.154634e-7) * bsq), bsq) * 0.022392064"
23,2.2983953e-8,"Lorentzian((Pb * ((((Pb * bsq) * Pb) * Pb) * (((Pb * bsq) * bsq) * 1.7881356e-7))) * Pb, bsq) * 0.02235336"
25,2.2868786e-8,"Lorentzian(((((bsq * Pb) * Pb) * (bsq * bsq)) * ((Pb * -6.3044226e-8) * Pb)) * ((Pb * Pb) * Pb), bsq) * 0.022403015"
27,2.2868699e-8,"Lorentzian((Pb * (((bsq * ((bsq * 4.799493e-8) * Pb)) * (Pb * bsq)) * Pb)) * (Pb * ((Pb * 1.305308) * Pb)), bsq) * 0.022380088"
29,2.2794051e-8,"Lorentzian(((((Pb * bsq) * ((((Pb * bsq) * Pb) * -0.54009837) * Pb)) * ((Pb * (Pb * Pb)) * bsq)) * Pb) * 3.9135525e-8, bsq) * 0.02239577"
