Complexity,Loss,Equation
1,1.6871469e-7,"0.0013939544"
3,2.3578274e-8,"Lorentzian(bsq, 38.68428)"
5,1.46055195e-8,"Lorentzian(Pb, bsq) * 0.054877114"
7,5.4607576e-9,"Lorentzian(bsq * 0.15131138, bsq) * 0.06770242"
9,5.328936e-9,"Lorentzian(bsq * (Pb * -0.24416344), bsq) * 0.06236186"
10,5.260946e-9,"(Lorentzian(bsq * 0.08547874, bsq) * 0.06754075) * gaussian(Pb)"
11,4.415598e-9,"(Lorentzian(bsq * 0.101922534, bsq) * 0.08402165) * Lorentzian(Pb, 1.2470269)"
13,4.414246e-9,"Lorentzian(Pb, 1.2480621) * (0.0788887 * (Lorentzian(bsq * 0.1039194, bsq) * 1.0704877))"
17,3.8600727e-9,"((Lorentzian(bsq * 0.121182345, bsq) * (Lorentzian(Pb, 0.9426434) * Lorentzian(0.47129628, bsq))) * bsq) * 0.071769066"
19,3.851412e-9,"(Lorentzian(0.121182345 * bsq, bsq) * (Lorentzian(Pb, 0.9426434) * bsq)) * (Lorentzian(0.709171 * 0.6851214, bsq) * 0.071769066)"
23,3.84588e-9,"Lorentzian(bsq * 0.122004606, bsq) * ((bsq * 0.0724748) * (bsq * ((Lorentzian(0.48338643, bsq) * Lorentzian(-0.12472095, bsq)) * Lorentzian(Pb, 0.94323224))))"
25,3.845154e-9,"(0.9888774 * (((bsq * (Lorentzian(0.48337474, bsq) * Lorentzian(-0.12838882, bsq))) * bsq) * (Lorentzian(bsq * 0.12193946, bsq) * 0.073134825))) * Lorentzian(Pb, 0.9431875)"
29,3.8445642e-9,"(Lorentzian(bsq * 0.12217973, bsq) * Lorentzian(Pb, 0.9432418)) * ((Lorentzian(0.48339006, bsq) * (Lorentzian(-0.13923638, bsq) * ((bsq * 0.07243545) * (bsq * bsq)))) * Lorentzian(-0.0139222285, bsq))"
