Complexity,Loss,Equation
1,1.6871468e-7,"0.0013935398"
3,2.3584832e-8,"Lorentzian(bsq, 38.273647)"
5,1.46055195e-8,"Lorentzian(Pb, bsq) * 0.054876707"
7,5.460686e-9,"Lorentzian(bsq * -0.15083943, bsq) * 0.06759139"
9,5.328954e-9,"Lorentzian(Pb * (bsq * 0.24400786), bsq) * 0.062362902"
10,5.260634e-9,"Lorentzian(bsq * -0.08635673, bsq) * (gaussian(Pb) * 0.06761624)"
12,4.6700417e-9,"(gaussian(Pb * -0.68947625) * 0.06671037) * Lorentzian(bsq * -0.11170144, bsq)"
13,4.6665356e-9,"(Lorentzian(-0.11111456 * bsq, bsq) * 0.06671037) * gaussian(Pb * decay(0.33306268))"
14,3.3749352e-9,"Lorentzian(((bsq * decay(Pb * Pb)) * Pb) * 0.42867276, bsq) * 0.06433978"
17,2.967504e-9,"(decay(decay((Lorentzian(-0.23812515, bsq) * 3.3172586) * Lorentzian(Pb, 0.079453886))) * Lorentzian(-0.45840564, bsq)) * 0.07061678"
19,2.8204479e-9,"(decay(decay(Lorentzian(Pb, 0.062398512) * (Lorentzian(0.55881613, bsq) * 2.8717008)) * 0.9103941) * 0.070665315) * Lorentzian(-0.46887547, bsq)"
20,2.6488738e-9,"Lorentzian(0.32985932, bsq) * (decay(decay((Lorentzian(1.7377422, bsq) * 12.719375) * decay(Lorentzian(Pb, 0.05584956) * -0.08704989))) * 0.06742487)"
22,2.4505529e-9,"(decay(decay((Lorentzian(-0.33577272, bsq) * Lorentzian(Pb, 0.025083702)) * Lorentzian(decay(Pb * Pb), -0.053206608))) * Lorentzian(0.45849633, bsq)) * 0.072936155"
24,1.6250575e-9,"(decay(decay(Lorentzian(decay(Pb * Pb), -0.042641055) * ((Lorentzian(Pb, 0.02727066) * Lorentzian(-0.023966083, bsq)) * 1.7340956))) * 0.06759265) * Lorentzian(0.35483363, bsq)"
25,1.6205324e-9,"(decay(decay((Lorentzian(decay(bsq), bsq) * (Lorentzian(decay(Pb * Pb), -0.042640533) * 1.7898084)) * Lorentzian(Pb, 0.02726973))) * Lorentzian(-0.35525596, bsq)) * 0.067600705"
29,1.6146487e-9,"(0.06759836 * Lorentzian(-0.35817608, bsq)) * decay(decay((Lorentzian(decay(Pb * Pb), -0.042640686) * (1.7340957 * Lorentzian(bsq * decay(bsq), bsq))) * Lorentzian(Pb * 0.9784633, 0.02727)))"
30,1.6145992e-9,"(0.06759836 * Lorentzian(-0.35817608, bsq)) * decay(decay((Lorentzian(decay(Pb * Pb), -0.042640686) * (1.7340957 * Lorentzian(decay(bsq) * decay(bsq), bsq))) * Lorentzian(Pb * 0.9784633, 0.02727)))"
