Complexity,Loss,Equation
1,1.6871468e-7,"0.0013935398"
3,2.3578574e-8,"Lorentzian(bsq, 38.7528)"
5,1.46055195e-8,"Lorentzian(Pb, bsq) * 0.054876663"
7,5.4606284e-9,"Lorentzian(bsq * -0.15117197, bsq) * 0.06763257"
9,5.328928e-9,"Lorentzian(bsq * (Pb * 0.24451958), bsq) * 0.062365904"
10,5.2609304e-9,"gaussian(Pb) * (Lorentzian(bsq * -0.08553384, bsq) * 0.067568816)"
11,4.416085e-9,"Lorentzian(bsq * 0.105009824, bsq) * (Lorentzian(Pb, 1.2279379) * 0.08325769)"
13,4.415422e-9,"(Lorentzian(Pb, 1.2279379) * 0.08325769) * Lorentzian((bsq * -0.9965793) * 0.105009824, bsq)"
17,3.9271413e-9,"(((Lorentzian(Pb, 1.521824) * bsq) * Lorentzian(bsq * -0.13516578, bsq)) * 0.11397959) * Lorentzian(0.45231453, bsq)"
21,3.8953796e-9,"Lorentzian(Pb * -1.229988, 1.8064281) * (((bsq * -0.1089685) * (Lorentzian(0.4439335, bsq) * Lorentzian(bsq * -0.1321973, bsq))) * -1.251071)"
