Complexity,Loss,Equation
1,1.5918167e-5,"0.010525331"
2,7.893799e-6,"decay(bsq)"
3,1.4932302e-6,"Lorentzian(bsq, 2.1027613)"
5,1.0874138e-6,"Lorentzian(bsq, 4.0335164) * 1.4507164"
8,6.6878687e-7,"(Lorentzian(-0.69095993, bsq) * gaussian(Pb)) * 0.32160679"
9,6.65661e-7,"(Lorentzian(Pb, 0.64875066) * Lorentzian(0.700475, bsq)) * 0.21472564"
10,1.4699283e-7,"(decay(bsq * 0.05743206) * 0.4255505) * Lorentzian(-0.8090772, bsq)"
17,1.1724291e-7,"((decay((bsq * -0.00048023154) * bsq) * decay(bsq * 0.059741326)) * Lorentzian(-0.8092556, bsq)) * 0.42378"
19,1.17233725e-7,"((decay((bsq * -0.00048196907) * bsq) * decay(bsq * 0.059741326)) * (Lorentzian(-0.8092556, bsq) * 0.99639493)) * 0.4254492"
24,1.14116276e-7,"(((decay((bsq * 0.99639493) * (-0.00048196907 * bsq)) * decay((1.0347996 * bsq) * 0.059741326)) * Lorentzian(-0.8092556, bsq)) * gaussian(-0.06269826)) * 0.4254492"
