Complexity,Loss,Equation
1,1.5918167e-5,"0.010526284"
2,7.893799e-6,"decay(bsq)"
3,1.4932302e-6,"Lorentzian(bsq, 2.1027613)"
5,1.0878472e-6,"Lorentzian(bsq, 4.0993533) * 1.461522"
7,1.0873736e-6,"Lorentzian(bsq * 0.106705576, 0.045747254) * 0.016486747"
8,6.6877845e-7,"gaussian(Pb) * (0.32142827 * Lorentzian(-0.6903851, bsq))"
9,5.296476e-8,"(Lorentzian(0.94635296, bsq) * Lorentzian(2.600964, bsq)) * 3.8156593"
14,4.362857e-8,"(Lorentzian(2.390534, bsq) * 3.3797379) * (decay(bsq * -0.0062598297) * Lorentzian(-0.96793544, bsq))"
16,3.094327e-8,"(decay(Pb * (Pb * -0.3547985)) * (3.3271244 * Lorentzian(2.3847609, bsq))) * Lorentzian(-0.9586471, bsq)"
18,3.0761626e-8,"Lorentzian(-0.9643294, bsq) * ((1.1378807 * (Lorentzian(2.3870282, bsq) * decay((Pb * Pb) * -0.35328886))) * 2.9471402)"
23,2.6858363e-8,"(gaussian((Pb * -0.34568682) * Pb) * ((Lorentzian(-0.9643294, bsq) * decay(Pb * (Pb * -0.4602407))) * Lorentzian(2.3870282, bsq))) * 3.353494"
25,2.6450387e-8,"decay((Pb * Pb) * -0.46004426) * (Lorentzian(-0.9656837, bsq) * ((Lorentzian(2.3887742, bsq) * 3.352139) * gaussian(Pb * (Pb * (Pb * -0.29017234)))))"
27,2.6450342e-8,"(((Lorentzian(-0.9656837, bsq) * gaussian((Pb * (Pb * (Pb * -0.46004426))) * 0.6307487)) * Lorentzian(2.3887742, bsq)) * decay((Pb * Pb) * -0.46004426)) * 3.352139"
28,2.5895877e-8,"gaussian(Pb * (-0.44010448 * Pb)) * (gaussian(0.26396605 * Pb) * (decay(Pb * (Pb * -0.5943299)) * (Lorentzian(2.4051979, bsq) * (Lorentzian(-0.9548482, bsq) * 3.354695))))"
