Complexity,Loss,Equation
1,0.0004722896,"0.008736093"
3,0.00020611475,"0.4059226 ^ bsq"
4,0.00020611474,"square(0.63711625 ^ bsq)"
5,3.8214577e-5,"0.22842832 ^ (bsq ^ 0.44865876)"
6,4.342343e-6,"square(1.472209 / (bsq + 1.9004451))"
7,3.8726025e-6,"(1.1857919 / (bsq - -1.5399036)) ^ 1.8070645"
9,1.20913e-6,"square(-1.3752738 / ((bsq + 1.7597202) - square(Pb)))"
11,7.347045e-7,"square(1.3442755 / ((bsq - (square(Pb) * 1.3584956)) + 1.7245966))"
13,6.2852826e-7,"square(1.517043 / ((bsq + 1.6733178) - square(Pb / -0.796761))) * 0.75047433"
14,6.2852746e-7,"square(1.517043 / ((square(Pb) / square(-0.796761)) - (bsq + 1.6733178))) * 0.75047433"
17,6.225459e-7,"square(1.5193218 / (((1.5193218 - (-0.15490392 ^ bsq)) * square(Pb)) - (bsq + 1.6780026))) * 0.7530216"
19,5.7393953e-7,"square(1.5194857 / (square((Pb * 1.3786074) / ((0.38309592 ^ bsq) + 1.0608718)) - (bsq + 1.6716273))) * 0.752956"
20,5.546795e-7,"square(1.5194857 / (((1.3786074 / ((0.61488044 ^ square(bsq)) + 0.8906417)) * square(Pb)) - (bsq + 1.6716273))) * 0.752956"
23,5.5066005e-7,"square(1.5194857 / (((1.3786074 / ((((-0.18901737 - 0.46522906) ^ bsq) ^ bsq) + 0.8906417)) * square(Pb)) - (bsq + 1.6716273))) * 0.752956"
