Complexity,Loss,Equation
1,0.0004722896,"0.008735642"
3,0.00020611474,"0.40589753 ^ bsq"
4,0.00017027883,"0.51174766 / cosh(bsq)"
5,3.809423e-5,"0.2332968 ^ (bsq ^ 0.45544782)"
6,8.6225455e-6,"0.60195714 / exp(bsq ^ 0.5718282)"
7,3.8652533e-6,"(1.2326076 / (bsq + 1.6017386)) ^ 1.838165"
9,3.8361572e-6,"((1.2190119 / (bsq + 1.5928556)) ^ 1.8214579) - 0.00024876822"
12,1.9979118e-6,"(0.92921656 / ((bsq + (1.7906896 / cosh(Pb))) ^ -0.23176797)) ^ -8.495248"
14,1.0694802e-6,"0.9736436 / ((((1.2753965 / cosh(Pb * 1.9297204)) + bsq) ^ -0.20423079) ^ -8.494256)"
17,8.4067415e-7,"0.9736436 / ((((1.2753965 / cosh(cosh(Pb) * (Pb / -0.63920665))) + bsq) ^ -0.20423079) ^ -8.494256)"
21,7.7058337e-7,"1.7690896 / (((bsq + (1.9306941 / (exp(Pb - (bsq + 1.9922855)) + exp(Pb * Pb)))) ^ -0.22957724) ^ -8.495206)"
22,6.7294894e-7,"1.769072 / (((bsq + (1.9307127 / exp((Pb * Pb) + exp(1.1980705 - (cosh(bsq) + 2.2094429))))) ^ -0.2301688) ^ -8.495216)"
23,6.660697e-7,"1.7690476 / (((bsq + (1.9307294 / exp((Pb * Pb) + exp(bsq - ((bsq + 1.411662) * 1.4411764))))) ^ -0.2306727) ^ -8.495231)"
25,6.497753e-7,"1.7690896 / (((bsq + (1.9306941 / (exp(exp(0.22776215) - (cosh(bsq ^ 0.70532775) + 2.2872288)) + exp(Pb * Pb)))) ^ -0.22957724) ^ -8.495206)"
27,6.285796e-7,"1.769072 / (((bsq + (1.9307127 / (exp((1.769072 ^ 0.31678635) - (cosh(0.87368643 * bsq) + exp(0.7927404))) + exp(Pb * Pb)))) ^ -0.2301688) ^ -8.495216)"
28,6.09459e-7,"1.7690476 / ((((1.9307294 / (exp(bsq - ((bsq - -1.0022486) + (bsq + exp(bsq * -0.9535633)))) + exp(Pb * Pb))) + bsq) ^ -0.23067273) ^ -8.495231)"
