Complexity,Loss,Equation
1,1.3890871e-5,"0.00873609"
2,6.2512904e-6,"decay(bsq)"
4,5.0082012e-6,"sech(bsq) * 0.5117465"
5,2.8192105e-6,"gaussian(decay(bsq * -0.11964845))"
6,1.1635374e-6,"decay(bsq * 0.41902015) * 0.3721017"
13,1.0382192e-6,"(decay(bsq * 0.46087575) * decay((Pb * -0.6123013) * Pb)) * 0.37618604"
16,1.0382126e-6,"decay(-0.6123013 * (Pb * Pb)) * (decay(0.46087575 * bsq) * (decay(-0.001134729) * 0.37614995))"
18,1.0382116e-6,"(decay(0.46087575 * bsq) * decay(Pb * (Pb * -0.6123013))) * (decay(0.8778579 * -0.001134729) * 0.37614995)"
20,1.0382045e-6,"decay(Pb * (Pb * -0.6121865)) * ((decay(bsq * 0.46199438) * decay((Pb * Pb) * -0.026514664)) * 0.3753845)"
22,9.78481e-7,"decay((Pb * Pb) * -0.6123285) * ((decay(bsq * 0.46244603) * decay(Pb * ((Pb * bsq) * -0.028382126))) * 0.3761412)"
