Complexity,Loss,Equation
1,1.5918167e-5,"0.010525942"
2,1.4977074e-5,"sech(bsq)"
3,1.4932302e-6,"Lorentzian(bsq, 2.1027172)"
5,1.0875417e-6,"Lorentzian(bsq * 0.8296743, 2.7923353)"
7,8.828589e-7,"Lorentzian(Lorentzian(bsq, 1.5560156), bsq) * 0.28435826"
8,7.5376056e-7,"Lorentzian(sech(bsq) * 0.6485161, bsq) * 0.26855752"
9,5.342572e-8,"Lorentzian(2.659243, bsq) * (Lorentzian(0.93794996, bsq) * 3.9160545)"
10,5.082709e-8,"(Lorentzian(-2.3517878, bsq) * 3.4134753) * Lorentzian(sech(Pb), bsq)"
12,3.5117793e-8,"(Lorentzian(0.95666164, bsq) * 3.3738844) * Lorentzian(sech(Pb) * -2.4329097, bsq)"
17,2.8801045e-8,"(Lorentzian(sech(sech(sech(bsq))) * sech(Pb * -3.4126942), bsq) * Lorentzian(3.2079704, bsq)) * 4.3522096"
19,2.8453895e-8,"Lorentzian(3.2079704, bsq) * (Lorentzian((sech(Pb * -3.4126942) * sech(sech(sech(bsq)))) * 0.99619293, bsq) * 4.3522096)"
20,2.8441976e-8,"(Lorentzian(3.2079704, bsq) * Lorentzian((sech(0.09158424) * sech(Pb * -3.4126942)) * sech(sech(sech(bsq))), bsq)) * 4.3522096"
21,2.3565182e-8,"1.3427987 * ((Lorentzian(3.2079704, bsq) * Lorentzian(sech(Pb * -3.4126942) * sech(sech(sech(-1.6049854 * bsq))), bsq)) * 3.241148)"
