Complexity,Loss,Equation
1,3.7428829e-6,"0.0012734585"
5,3.5438457e-6,"(bT * 9.035912e-5) + 0.0012792376"
7,3.1660518e-6,"((bT * bT) ^ -0.5884381) * 0.0066831736"
9,2.8842103e-6,"((bT * (bT + -0.7427068)) ^ -0.53445935) * 0.005727915"
11,1.0377267e-6,"(((bT * bT) + (bL * bL)) ^ -1.1161058) * 0.054023236"
13,1.0361192e-6,"(((bL * bL) + ((-0.0031425054 + bT) * bT)) ^ -1.1161058) * 0.054023236"
15,5.5172933e-7,"(((bL * bL) + (bT * bT)) ^ -1.1161058) * ((bT * 0.0058400654) + 0.07146037)"
17,5.5025174e-7,"(((bL * bL) + (bT * bT)) ^ -1.1161058) * (((bT * 0.0058400654) + 0.07146037) * 0.99632597)"
21,5.395227e-7,"(((0.0058400654 * bT) + 0.07146037) * 0.99632597) * ((((bL + (0.056262385 * bL)) * bL) + (bT * bT)) ^ -1.1161058)"
23,5.330822e-7,"((bT * 0.0056314836) + 0.068671376) * (((bT * bT) + ((bL * bL) + ((bT * (-0.948011 ^ bT)) * 0.05633204))) ^ -1.1170973)"
