Complexity,Loss,Equation
1,3.7428829e-6,"0.0012734586"
5,3.5438459e-6,"(bT * 9.029696e-5) - -0.0012792349"
7,3.2810483e-6,"((0.95096064 ^ bT) ^ bT) * 0.003465132"
9,3.114127e-6,"(((0.9007157 ^ bT) * 1.4123646) ^ bT) * 0.0031323938"
11,2.9384385e-6,"((((0.76213115 ^ bT) * 1.8239101) ^ bT) * 0.0035958467) + 0.0009270268"
13,1.2208845e-6,"(((0.90952945 ^ bT) ^ bT) * ((0.8756124 ^ bL) ^ bL)) * 0.020724615"
15,9.018536e-7,"((((0.83056 ^ bL) ^ bL) * ((0.8677509 ^ bT) ^ bT)) * 0.027759695) + 0.0007099246"
17,7.7938915e-7,"(((((0.86196893 ^ bT) * 1.0779614) ^ bT) * ((0.8400518 ^ bL) ^ bL)) + 0.027465634) * 0.027465634"
19,6.478084e-7,"((((0.857654 ^ bT) ^ bT) * ((0.83540124 ^ bL) ^ bL)) + 0.026754282) * ((1.0851619 ^ bT) * 0.02820615)"
21,6.254525e-7,"(1.079517 ^ bT) * ((((0.8401701 ^ bL) ^ bL) * ((((0.84368366 ^ bT) ^ bT) + 0.015258367) * 0.029690746)) + 0.00064564944)"
23,6.2545246e-7,"(1.079517 ^ bT) * ((((((0.84368366 ^ bT) ^ bT) + 0.015258367) * (((0.8401701 ^ bL) ^ bL) * 1.030958)) * 0.02879918) + 0.00064564944)"
27,6.163741e-7,"(((((0.84035635 ^ bL) ^ bL) * 0.029766887) * (((0.8438028 ^ bT) ^ bT) + (((-0.7608269 ^ bL) ^ bL) * 0.015352853))) + 0.0006576173) * (1.0794455 ^ bT)"
29,6.1327177e-7,"(((((0.84035635 ^ bL) ^ bL) * 0.029766887) * (((0.8438028 ^ bT) ^ bT) + (((-0.7608269 ^ bL) ^ bL) * 0.015352853))) + 0.0006576173) * (1.0309861 * (1.0794455 ^ bT))"
