Complexity,Loss,Equation
1,3.7428829e-6,"0.0012734458"
5,3.5438457e-6,"(bT * 9.036428e-5) + 0.0012792958"
7,3.1660543e-6,"((bT * bT) ^ -0.5877189) * 0.0066734087"
9,2.8893835e-6,"((bT * (bT + -0.6927842)) ^ -0.5501066) * 0.0059578223"
11,8.042623e-7,"(((bT * bT) + (bL * bL)) ^ -1.1943717) * 0.081136145"
13,7.0820397e-7,"(((bL * bL) + ((bT + -0.26148063) * bT)) ^ -1.1787392) * 0.07839635"
15,3.0296536e-7,"(((bT * bT) + (bL * ((0.731905 ^ bT) * bL))) ^ -1.1746309) * 0.077708595"
17,2.7324072e-7,"((((bT * bT) + ((0.76996154 ^ bT) * (bL * bL))) ^ -1.0815543) * 0.07314979) + -0.00046709972"
19,2.6779077e-7,"((((bT * bT) + (((0.76996154 ^ bT) * bL) * (1.0397853 * bL))) ^ -1.0815543) * 0.07314979) + -0.00046709972"
21,2.6647405e-7,"((((((((0.77108115 ^ bT) * bL) * 1.039785) * bL) + (bT * bT)) ^ -1.0843042) * 0.049033318) + -0.000303725) * 1.5185678"
23,2.3932748e-7,"((((0.696213 ^ bT) * (bL * bL)) + ((bT + (bL * (bT * (bL * 0.020172235)))) * bT)) ^ -1.1538807) * 0.075794175"
25,2.2351504e-7,"(((bT * (bT + (bT * (bL * ((bL + 0.3042943) * 0.022979753))))) + ((0.6960187 ^ bT) * (bL * bL))) ^ -1.1531962) * 0.07908269"
27,2.127293e-7,"((((0.6959475 ^ bT) * (bL * bL)) + ((((((bL * bL) + -1.1538901) * (bT * 0.20989832)) * 0.13349019) + bT) * bT)) ^ -1.1530181) * 0.07928956"
