Complexity,Loss,Equation
1,1.5918167e-5,"0.01052533"
2,1.3612564e-5,"gaussian(bsq)"
4,6.5475247e-6,"sech(bsq) * 0.5503602"
6,2.396307e-6,"sech(bsq * 0.44542453) * 0.25433955"
9,2.2135312e-6,"sech(sech(Pb) * (bsq * -0.4654959)) * 0.25885445"
11,1.0227468e-6,"sech(bsq * 0.33202592) * gaussian(sech(sech(bsq)) * 1.3561295)"
13,9.553064e-7,"gaussian(1.2793883 * sech(1.2793883 * gaussian(bsq))) * sech(bsq * 0.38280645)"
16,7.623789e-7,"(sech((-0.4317863 * sech(1.5131234 * Pb)) * bsq) * gaussian(gaussian(gaussian(bsq)))) * 0.58727354"
19,6.687926e-7,"(sech((bsq * 0.4324375) * sech(Pb)) * 0.5882121) * gaussian(gaussian(gaussian(sech(bsq * -0.38284713) * bsq)))"
20,5.381701e-7,"sech((sech(gaussian(bsq * sech(bsq * -0.3963423))) * bsq) * -0.4209688) * (gaussian(gaussian(gaussian(bsq))) * 0.6006916)"
23,4.759081e-7,"gaussian(sech(Pb) * gaussian(gaussian(bsq))) * (sech((bsq * sech(gaussian(bsq * sech(bsq * 0.38480693)))) * -0.42429155) * 0.58618957)"
25,3.2607474e-7,"gaussian(gaussian(gaussian(sech(bsq * 0.35416022) * bsq))) * (sech((bsq * -0.41930833) * sech(gaussian(sech(bsq * 0.3534168) * bsq))) * 0.59227765)"
29,3.1045263e-7,"sech(sech(gaussian(sech(bsq * 0.36051875) * bsq)) * (bsq * -0.42901346)) * (gaussian(sech((bsq * -0.51648355) * (Pb * Pb)) * gaussian(gaussian(bsq))) * 0.59173536)"
