Complexity,Loss,Equation
1,1.9320632e-7,"-3.1988503e-7"
3,1.4392448e-7,"Pb * -0.001448692"
5,4.759346e-8,"-0.001072067 * Lorentzian(-0.001072067, Pb)"
7,1.5349086e-8,"Pb * (Lorentzian(0.00015259844, bsq) * -0.07339063)"
9,1.2446934e-8,"(Pb * -0.06874642) * (Lorentzian(bsq, -1.0920646) * bsq)"
10,2.5643898e-9,"((Lorentzian(-0.556861, bsq) * -0.11030277) * gaussian(Pb)) * Pb"
11,1.494758e-9,"Lorentzian(-0.33586705, bsq) * (Lorentzian(Pb, 0.91869694) * (Pb * -0.09490201))"
13,4.5480159e-10,"Pb * ((Lorentzian(bsq, 0.9589488) * (Lorentzian(4.8401, bsq) * -2.860342)) * bsq)"
15,4.547467e-10,"((Lorentzian(bsq, 0.9589488) * (Lorentzian(4.8401, bsq) * 0.99413407)) * (bsq * -2.876722)) * Pb"
17,4.4790482e-10,"(Lorentzian(-4.931341, bsq) * 1.0630497) * ((bsq * -1.7154629) * (Lorentzian(bsq * 0.7886573, 0.55898154) * Pb))"
18,4.30219e-10,"bsq * (Pb * (Lorentzian(bsq, 0.9589488) * (Lorentzian(4.8401, bsq) * (gaussian(Pb * 0.17725293) * -2.876722))))"
20,4.0717787e-10,"((((bsq * -2.876722) * Pb) * Lorentzian(bsq, 0.9589488)) * Lorentzian(4.8401, bsq)) * gaussian(Pb * (Pb * 0.17469244))"
22,3.82244e-10,"(Lorentzian(bsq, 0.9355336) * ((Lorentzian(4.984826, bsq) * 1.2588614) * (Pb * (bsq * gaussian((Pb * -0.19431631) * Pb))))) * -2.4066815"
24,3.822439e-10,"(Lorentzian(bsq, 0.9355336) * (((Lorentzian(4.984826, bsq) * 1.2588614) * (Pb * (gaussian(Pb * (Pb * -0.19431631)) * bsq))) * -2.7331002)) * 0.8805683"
26,3.7121037e-10,"((-2.7331002 * ((Lorentzian(4.984826, bsq) * decay(-0.23020771)) * (Pb * (gaussian((Pb * Pb) * -0.19431631) * bsq)))) * Lorentzian(bsq, 0.9355336)) * gaussian(0.36228728)"
27,3.668465e-10,"((Lorentzian(bsq, 0.9355336) * (-2.7331002 * ((Lorentzian(4.984826, bsq) * decay(-0.23020771)) * ((gaussian(-0.19431631 * (Pb * Pb)) * bsq) * Pb)))) * 0.8805683) * 0.98971117"
