Complexity,Loss,Equation
1,9.858641e-6,"0.011487537"
3,9.278039e-6,"Lorentzian(bL, 55.909237)"
5,5.9899567e-6,"Lorentzian(bT, 0.08229717) * 0.051145833"
7,1.0253542e-6,"Lorentzian(bT, 1.1209867) * Lorentzian(bL, 2.3042774)"
9,3.6786554e-7,"(Lorentzian(bT, 0.5491005) * Lorentzian(bL, 1.4570825)) * 0.52688336"
13,2.9743626e-7,"Lorentzian(bT, 1.1497067) * (Lorentzian(bT, 7.679048) * (Lorentzian(bL, 1.2341219) * 6.1684756))"
15,2.8447556e-7,"Lorentzian(Lorentzian(bL, 0.6518565), 2.9290855) * (Lorentzian(bT, 0.5076421) * (1.2973973 * Lorentzian(bL, 0.74109626)))"
17,7.037739e-8,"(Lorentzian(bL, 0.67876494) * Lorentzian(bT * -0.65965885, 0.7848321)) * Lorentzian(Lorentzian(bL, 0.81677103) * bT, 2.9942002)"
19,6.784931e-8,"(Lorentzian(bL, 0.72064185) * Lorentzian((bT * Lorentzian(bL, -0.3262342)) * 0.37174916, 2.9557242)) * Lorentzian(bT * 0.6821083, 0.7491348)"
23,6.582481e-8,"Lorentzian(bT * -0.69072115, 1.0144907) * ((Lorentzian(bL, 0.6301907) * Lorentzian(Lorentzian(bL * -0.5432727, 0.27275205) * (bT * -0.36269364), 2.9357114)) * 1.1889035)"
25,5.3614336e-8,"Lorentzian(bT * 0.68627745, 0.7647275) * (Lorentzian(bL, 0.7321348) * Lorentzian((bT * -0.31717724) * Lorentzian(bL * (bL * Lorentzian(0.00024456292, bT)), 0.2916167), 2.960294))"
27,4.5267864e-8,"((Lorentzian(bT * -0.68965054, 0.9168339) * Lorentzian((Lorentzian(Lorentzian(-0.011178233, bT) * (bL * bL), 0.28234693) * -0.3389196) * bT, 2.952698)) * 1.085546) * Lorentzian(bL, 0.6601508)"
29,4.4411603e-8,"(Lorentzian(bL, 0.6605815) * 1.0852847) * (Lorentzian(bT * -0.6921829, 0.9161801) * Lorentzian(bT * (Lorentzian((bL * Lorentzian(-0.011179567, bT)) * (bL * bL), 0.28319654) * -0.33915552), 2.952777))"
