Complexity,Loss,Equation
1,4.5997085e-6,"-0.001057086"
5,4.5933393e-6,"(bT * -1.5742477e-5) + -0.0010588528"
7,3.5578228e-6,"((0.8953653 ^ bT) ^ bT) * -0.00638711"
9,3.3808478e-6,"(((0.74346644 ^ bT) ^ bT) * -0.01172628) + -0.00066113065"
11,3.05299e-6,"((0.38261986 ^ bL) ^ bL) * (bL * (bL * -0.042566024))"
13,2.5712645e-6,"((0.3864992 ^ bL) ^ bL) * ((bL * (bL * -0.040541254)) + -0.0015670763)"
15,2.4105793e-6,"(((0.36623463 ^ bL) ^ bL) * (((bL * -0.042532507) * bL) + -0.0010823931)) + -0.00048328904"
17,2.3901935e-6,"((((bL * bL) * -0.042844746) + -0.000826916) * (((0.35962254 ^ bL) ^ bL) + -0.0003048806)) + -0.0007384916"
19,2.3901932e-6,"((((bL * -0.04273387) * bL) + -0.0008249507) * ((((0.35962275 ^ bL) ^ bL) * 1.0025954) + -0.00030579203)) + -0.00073865906"
21,1.7604654e-6,"(bL * (((bL + (bL * ((bT * bT) * -0.05387289))) * -0.03966779) * ((0.5127657 ^ bL) ^ bL))) + -0.00095014804"
23,1.6636449e-6,"(((((bL + (bL * (bT * (bT * -0.052247312)))) * bL) + 0.020487703) * ((0.50863636 ^ bL) ^ bL)) * -0.039609697) + -0.0007426094"
25,1.5436611e-6,"(bL * ((bL * 3.5868485e-5) + ((((0.51990193 ^ bL) ^ bL) * -0.037858173) * ((bT * ((bL * -0.056945276) * bT)) + bL)))) + -0.0015452165"
27,1.5382876e-6,"(bL * ((bL * 3.5864607e-5) + ((((0.51990455 ^ bL) ^ bL) * (bL + ((bT + 0.0941831) * ((bL * -0.05694725) * bT)))) * -0.03788875))) + -0.0015448391"
29,1.4793386e-6,"(bL * (((((0.5200616 ^ bL) ^ bL) * (bL + (((-1.1399113 ^ bT) + (bT * bT)) * (bL * -0.05355169)))) * -0.039880875) + (bL * 3.573131e-5))) + -0.0015390154"
