Complexity,Loss,Equation
1,6.969255e-8,"-0.0010570874"
5,5.0369056e-8,"Lorentzian(bT, 0.7501022) * -0.018149763"
8,4.4231207e-8,"(gaussian(bL) * -0.0628334) * Lorentzian(bT, -0.31787857)"
9,9.087285e-9,"Lorentzian(bT, 0.420179) * (Lorentzian(bL, 3.2102401) * -0.21755086)"
10,7.2621957e-9,"Lorentzian(bT, 0.543346) * (gaussian(bL * -0.35862297) * -0.06310228)"
13,6.0060485e-9,"Lorentzian(bT, 0.18852165) * (gaussian(bL * gaussian(gaussian(gaussian(bT)))) * -0.06214827)"
14,5.251391e-9,"gaussian(Lorentzian(PowerLaw(bT, 0.048234835), -3.061952) * bL) * (Lorentzian(bT, 0.05987018) * -0.057307027)"
16,5.1886437e-9,"(Lorentzian(bT, -0.0077041183) * -0.056389987) * gaussian(bL * Lorentzian(PowerLaw(bT * 0.9856068, 0.044360403), -3.0619645))"
18,5.188101e-9,"((Lorentzian(bT, 0.010438745) * 0.08420748) * gaussian(Lorentzian(PowerLaw(bT, 0.048517723) * 1.0441223, -3.0595753) * bL)) * -0.6764812"
20,5.1796234e-9,"(Lorentzian(bT, 0.0072803292) * -0.05708625) * gaussian(Lorentzian(PowerLaw(bT, 0.15407676) * (PowerLaw(-0.49022612, bT) * 1.0416033), -3.0619776) * bL)"
21,5.013542e-9,"gaussian(Lorentzian(gaussian(bL * 0.10561621) * (PowerLaw(bT, 0.048256733) * 1.0416234), -3.0619645) * bL) * (-0.056389987 * Lorentzian(bT, 0.0073085264))"
25,4.887893e-9,"(Lorentzian(bT, 0.15303703) * -0.06213102) * gaussian((bL * Lorentzian(gaussian((bT * 0.35357168) * (Lorentzian(bT * -0.5944419, -2.330518) * bL)), -2.330741)) * -0.78345674)"
30,4.8670565e-9,"Lorentzian(bT, 0.15303703) * (gaussian((Lorentzian(gaussian((Lorentzian(bT * 0.58362967, -2.330518) * -0.78353316) * ((Lorentzian(gaussian(bL), -2.3305202) * bL) * bT)), -2.330741) * bL) * -0.78345674) * -0.06213102)"
